chest,lung,brain,abdominal,artery,lobe,liver,abdomen
patient chest x-ray on admission.,,axial contrast enhanced cta (mip) of the brain demonstrating a serpiginous intraventricular enhancing structure (arrow).,"abdominal mri (t2-weighted sequence with fat saturation, axial slice), showing two small cysts, one in the tail and one in the transition between body and tail of pancreas.",hepatic artery angiography of a 54-year-old showing a branch of the hepatic artery feeding the ivc/ra tumor thrombus (←),"computed tomography of the abdomen. a hypodense mass of mesentery 5×8×8.5 cm, multi-lobed in some areas, with mild peripheral enhancement",,ultrasound abdomen with live 17-week intrauterine fetus and large amount of free intraperitoneal fluid
chest x‐ray showing reticular changes bilaterally on the mid and lower lung zones and bilateral pleural effusions.,,axial t2w mri image reveals hyperintensity in the midbrain and hypothalamus (arrows),"repeat ct scan, showing a dumbbell-shaped right lower quadrant mass (m) in contact with the psoas muscle, extending through the abdominal wall into the overlying subcutaneous tissue. [powerpoint slide]",right tortuous bronchial artery (thin black arrow) and a bronchopulmonary shunt (thick arrow) on dsa.,axial ct image of the neck after fluoroscopy barium swallow demonstrates contrast pooling in the lobectomy bed with a fistulous connection to the esophagus (white arrow; image shown using a ‘bone window’ to clearly outline the barium contrast).,,emergency computed tomography one month later. pneumoperitoneum and diffuse liquid in the left upper abdomen.
chest radiograph – bilateral diffuse calcifications in the region of thoracic spine and in the tracheal cartilages.,,magnetic resonance imaging-t1w brain sagittal image demonstrating ectopic neurohypophysis and invisible pituitary stalk.,portal venous phase image of the abdominal ct series of patient number 3 showing the relation between the right portal vein (white arrow) and inferior caval vein (*). also note that the course of the percutaneous needle was more-or-less similar to the course of the arrow in the caudacranial direction. 187×187mm (150 × 150 dpi),digital subtraction angiogram (dsa) after stent graft implantation with overstenting of left subclavian artery.,"transesophageal echocardiography: a 3d zoom mode image view from the left atrium shows a huge multi-lobed auricular mass with a large base of implantation to the posterolateral aspect of the left atrial wall, white arrows. a small sessile mass is seen on the anterior aspect of the atrium, black arrow head.",,"ct scan of the abdomen with contrast: heterogeneous mass measuring 12.0 × 9.7 × 14.3 cm in the right upper quadrant with loss of fat planes between the stomach, duodenum, colon and pancreas."
"chest ap showed cardiomegaly with right pleural effusion. an aneurysm of the arch of the aorta is seen, causing mediastinal widening. ap: anterioposterior.",,the sagittal view of brain mri with hyper signal intensity lesion in both thalamus,axial contrast computed tomography demonstrates internal bolster in the subcutaneous tissue of the anterior abdominal wall without evidence of contrast extravasation.,multiplanar reconstruction contrast-enhanced ct in a sagittal view 2 months after stent placement shows full expansion of the stent and favorable patency of the carotid artery,hrct from a patient with subacute hp. small cysts are present (arrow) on a background of widespread ground glass opacity and mosaic attenuation in the anterior segment of the left upper lobe (*),,ct of the abdomen 2 months after palliative radiotherapy showing absence of residual tumor in the jejunum.
arterial phase of ct chest scan in sagittal plane shows blushes of contrast (arrow) extending into the hematoma at the level of 7th posterior rib.,,showing 31p mrsi spectra overlaid on an axial t1 weighted image for a patient with an optic pathway glioma. the spectra are high quality throughout the brain even across the brain/skull interfaces demonstrating the robustness of the technique. lower snr is seen in the voxels which are only partly filled with tissue as expected.,"abdominal computer tomography (ct) showing a single tumor measuring 20 × 15 cm in the perirenal space with spleen, pancreatic tail, and high gastric body invasion.",left vertebral angiograms demonstrating occlusion of the second segment of the left posterior cerebral artery (arrow).,"t1-weighted mr image with contrast enhancement. a large, well-demarcated tumor with cystic changes is seen in the left temporal lobe. the solid portion and the wall of the cysts are intensely enhanced",,axial image from a contrast-enhanced ct of the abdomen and pelvis obtained 75 seconds after contrast injection shows reflux of contrast into the right renal vein as well as interstitial reflux within the right renal parenchyma (arrow).
chest radiography showing a nodular shadow in the upper lung field.,,"axial non-contrast image from brain ct assessment of altered mental state shows bilateral lens prostheses with incidental scleral calcifications at insertion of medial rectus on right and both medial and lateral recti on left.these calcifications represent normal part of aging. scleral bands would appear more linear, as compared to punctate calcifications observed.","abdominal plain radiograph showed extensive lobulated calcifications on the right renal shadow, suggestive of an autonephrectomized tuberculous kidney. other calcifications were also observed on the expected course of the right upper ureter.","aortogram, after coil embolization of the t8 intercostal artery. note that the postcoil embolization aortoagram demonstrates no contrast opacification of the pseudoaneurysm lumen, a coil mass measuring approximately 1.5 × 3.5 cm, and a gentle regional concave deformity of the aorta, implying that the true lumen of the pseudoaneurysm was larger than what opacified originally.",silicosis. ct at the level of the upper lobes exhibits a “nodular without tree-in-bud pattern” characterised by well-defined homogeneous centrilobular nodules that have an upper lobe and posterior predominance,,magnetic resonance imaging of the upper abdomen revealed a high t2 signal focus.
non-enhanced ct scan of the chest.,,"fluid-attenuated inversion-recovery magnetic resonance imaging revealed a lesion of high signal intensity in the right parietal area, indicating brain edema.","abdominal ct findings. an computed tomography image without contrast medium‐enhance shows dilatation along the full length of the colon, with partial niveaus, but without intestinal dilatation, volvulus, or a tumor mass.",38 year-old male with tetralogy of fallot status post complete repair and waterston shunt takedown as infant. streamline visualization during a late systolic phase reveals increased helical flow patterns are present in the pulmonary arteries (curved dashed lines). svc = superior vena cava; ra = right atrium; rv = right ventricle; mpa = main pulmonary artery; lpa = left pulmonary artery.,axial ct view of the left parotid demonstrating a multifocal abscess (arrow) extending to the deep lobe of the gland.,,repeat ct scan of the abdomen and pelvis with an ovoid fluid collection which measures 5.7 × 4.6 cm in the axial plane in the left posterior perinephric space.
chest radiograph showing bilateral pulmonary parenchymal infiltrate compatible with ards.,,"brain mr image. figure displays a normal brain mr image. the image is downloaded from the whole brain atlas, harvard university.","abdominal x-ray of kidney, ureters, and bladder (kub) showing gas/air within both the gastric lumen and the stomach wall.",pelvic arteriography before and after embolization. arrows indicate left internal pudendal artery.,pelvic ct-scan. pelvic ct-scan showing prostatic hypertrophy and intra-prostatic abscesses: 20 × 15 × 33 mm and 64 × 21 × 26 mm in the right lobe and 38 × 10 × 30 mm in the left lobe.,,axial computed tomography scan of abdomen demonstrating distended bowel
posteroanterior chest radiograph showing subcutaneous emphysema and the continuous diaphragm sign (black arrow).,,sagittal head ct.the image demonstrates targeted trigeminal nerve (contoured yellow) near its root entry into the brainstem (contoured green).,abdominal tomography scan after i.v. contrast administration. enlarged lymph nodes in the left periaortal space located typically – from the level of the left renal vessels to the level of abdominal aorta bifurcation.,"selective right coronary angiography, early phase, the left circumflex artery (lcx) originating from the right coronary artery (rca)",parenchymal emphysema of the right hepatic lobe (transverse section).,,reconstruction of volumetric computed tomography of the abdomen with a visible calcium deposit in the abdomen
massive pleural effusion seen on chest x-ray at right side,,normal brain mri findings with non-specific gliotic changes taken after two weeks of the mri showing pres syndrome.,coronal ct showing caecum measured from the anterior superior iliac spine and the lateral abdominal wall.,second coronary angiogram revealed local dissection of mid to distal left main coronary artery that was not present on previous angiogram.,contrast enhanced ct scan of thorax-showing mass lesion in the apical segment of right lower lobe.,,"computed tomography (ct) showing an approximately 4.7-cm×4-cm lobulate, heterogeneous mass in the dome of the bladder (arrow). ct also showed another 2.9-cm×2.3-cm hypodense mass with peripheral rim enhancement in the right upper abdomen."
preoperative ct image of the chest. multiple rib fractures and a right hemopneumothorax.,,"central nervous system white matter lesions. 45-year-old male. t2 brain mr image showed widespread, punctuated and confluent white matter lesions from periventricular to subcortical spaces. these lesions are associated with severe axonal injury (gliosis).",abdominal ct (coronal view) demonstrated ruptured jejunal diverticulum with associated free intraperitoneal air (white arrows) and surrounding mesenteric edema left mid abdomen,repeated ultrasound scan showing almost complete resolution of the distal axillary artery thrombus.,ct thorax at the time of diagnosis of m. kansasii showing consolidation and bronchiectasis in upper lobes bilaterally.,,a three-phase ct of the abdomen. in a 4-segment focal lesion with typical enhancement in contrast phase and washout effect in a venous phase.
chest x-ray posterior–anterior view on admission (04/09/2014) showing homogenous opacity with a cavitary lesion occupying parts of left middle and lower zones,,brain ct - axial view showing the left frontal cyst compressing the left frontal lobe.,computed tomography (ct) scan of the abdominal showed tumors fulfilling.,"post-processed whole-heart scan of a 12-year-old boy diagnosed with kawasaki disease. dilatation of the left and right coronary artery can be seen. note the kinking and aneurysmatic distal part (diameter 4.4 mm) of the left main stem (lm) in comparison with the diameter of the ostium (diameter 2.8 mm). ao: aorta, lad: left anterior descending artery, lcx: left circumflex artery, rca: right coronary artery.",extended leisons on bilaterally frontotemporal lobes on mri on the second week of hospitalization,,contrast-enhanced ct scan abdomen showing multiple medullary cysts in both kidneys.
chest ct scan showed bilateral alveolar infiltration resolved.,,axial brain mri with contrast showed filling defects in right sigmoid and transverse sinuses.,abdominal ct scan. lateral coronal view.,left caudal angiographic view – total occlusion of left anterior descending artery,"computed tomography showed a homogenous, sharply defined mass, which was in contact with the middle lobe.",,"ct abdomen on hospital day 20, showing worsening pancreatic collection."
chest x-ray on the day of discharge. there was a small heterogeneous opacity in the lower third of the right lung field,,magnetic resonance imaging of brain showing multiple tubercular granulomas,abdominal ultra sonography of our patient showing appendicitis.,computer tomography angiography scan of thorax coronal view showing pulmonary artery thrombus (arrowed),thoracic ct shows avm in superior segment of both lower lobes (arrows),,axial contrast-enhanced ct abdomen 14 days after-admission showing gross ascites and pancreatic parenchymal enhancement.
"chest x-ray film. chest x-ray images showing cardiac dilatation with a cardiothoracic ratio of 55%, enlarged pulmonary shadow and enlargement of the left second and fourth aortic arches.",,diffusion-weighted magnetic resonance imaging of the brain shows lacunar infarct in the left thalamus (arrow).,abdominal ct showing a loculated fluid collection in the lower pole of the spleen,rao caudal view showing absent left circumflex (lcx) and long left main coronary artery.,an ultrasound scan of the right thyroid lobe of a patient with papillary thyroid microcarcinoma and coexisting hyperthyroidism shows a nodule with microcalcification.,,surgeon-performed bedside ultrasound showing (a) an edematous omentum with hypoechoic stranding in the right upper quadrant of the abdomen (arrows) and (b) a thickened non compressible small bowel in the right lower quadrant of the abdomen (arrow heads).
chest radiograph showing haziness on the right side,,sagittal brain section showing a large frontal mixed density lesion with a satellite lesion in the posterior frontoparietal region,abdominal computed tomography image following previous hospital admission. a cystic tumor of 10 cm in diameter in the pancreatic tail (with calcification) and multiple liver tumors were detected.,"ct at admittance to emergency room shows a hyperdensity of the basilar artery, consistent with a thrombus (arrow).",ercp. the proximal cbd is narrowed and the lower segments of the right lobe of the liver and cystic duct remnant are not filled with contrast,,follow-up ct of the abdomen 12 weeks post-endoscopy demonstrates the decreased size of the hematoma.
"chest ct shows pneumonic consolidation, pulmonary edema, and pleural effusion or possible pulmonary hemorrhage.",,magnetic resonance imaging brain t1w image showing subdural hypointensity in the temporal region and bilateral convexities compressing temporal and frontal lobes on the left side suggestive of arachnoid cyst with subdural hygroma and mass effect,abdominal x-ray showing huge gas shadow consistent with gastric outlet obstruction,ct angiogram showing a superficial femoral arteriovenous fistula with arteriomegaly of the right external iliac artery.,computed tomography show pulmonary nodular lesions in middle and lower lobes.,,"computed axial tomography scans of the abdomen showing marked thickening of the wall of the terminal ileum, cecum, ascending colon, descending colon, and rectum with perifocal fat stranding. these finding are compatible with the findings of the colonoscopy."
chest radiograph on the first postoperative day. arrow shows angulation of the pac,,brain computed tomography scan in the 4th month of pregnancy showed left parietal lobe intra-cerebral hemorrhage,ultrasound images of the mass in the right liver and abdominal cavity.,(a) subclavian artery dissection (staining contrast) and lima dissection during pci. (b) final result after two overlapping stents placement at the ostium and the proximal part of the lima covering the dissection. (c) angiographic appearance of type v stent fracture at the mid portion of the distal stent 1 year after pci. (white and black lines are indicating the proximal and distal stent edges.),ct showing moderate intrahepatic cholestasis in both lobes; stents in hepatic bile ducts (arrow),,"reimaging of the abdomen with computed tomography three days subsequent to the original study in the coronal plane exhibits an increase in the amount of paracolic gutter fluid (arrowheads), and the craniocaudal dimension of the hemangioma is now 73.8 mm."
a 2.7-cm well-defined lobulated nodule observed in the basal segment of the left lower lobe in chest computed tomography.,,"t1-weighted, gadolinium enhanced horizontal magnetic resonance imaging of the brain and orbits, showing myositis in all four rectus muscles, and an abscess pocket between the medial wall and medial rectus muscle (arrow).",abdominal contrast-enhanced computed tomography axial slice in the arterial phase performed on pod 50 showing complete regression of the peripancreatic abscess (open white arrow - the drainage catheter).,superficial femoral artery (sfa) stenosis. preintervention image (a) shows a short-segment mid-sfa occlusion (arrow) with reformation distally. post-angioplasty (b) image shows good caliber and flow,diffuse hepatocellular carcinoma. arterial-phase contrast enhanced axial ct scan demonstrates a large ill-defined heterogeneous mass occupying the right hepatic lobe (arrows). focal intrahepatic biliary dilatation is seen (arrowhead).,,figure 1: ct scan of the abdomen showing solid cystic tumor in retroperitoneum with foci of calcification
x-ray chest pa view. a homogeneous opacity in the right middle and lower zone with shift of the mediastinum to the right side along with scoliosis.,,mri brain sagittal section showing putamen necrosis,t1 mri showing a soft tissue tumour of the anterior abdominal wall involving external oblique and internal oblique and not involving the peritoneum.,pseudonaeurysms seen at the rectosigmoid branches of the inferior mesenteric artery (circled).,"mediastinal lymph node metastases (n2 disease). ct shows a central left upper lobe mass (white arrow), postobstructive atelectasis, and enlarged lymph nodes (yellow arrow) in the aortopulmonary window.",,computed tomography scan of the abdomen with the mass.
a chest x-ray showing correct endotracheal tube placement and no acute lung pathology.,,"computerized tomographic angiography of brain vessels, with no evidence of saccular aneurysm and hemorrhage in subarachnoid spaces","computer tomography showed an abdominal wall tumour (arrowed) arising from the left anterior abdominal wall muscles, in particular the internal oblique and transversus abdominis.","left carotid angiography on day 1, right anterior oblique view, revealing a dissecting aneurysm of the anterior wall of left internal carotid artery.","the parasagittal section of the peripheral fragment of the right liver lobe. the arrows indicate the place of the separation of the fascia – peritoneum complex by the epiperitoneal fat (t). markings: msz – external oblique muscle, msw – internal oblique muscle, mp – transverse muscle, w – liver",,transverse section on ct abdomen showing free fluid (blood) and laceration of spleen.
chest x-ray showing acute respiratory distress syndrome in patient with scrub typhus,,multiple metastases of colon cancer affecting other brain regions.,abdominal ct scan showed a large retroperitoneal heterogeneous mass with focal calcification. positive beak sign was noted suggesting the left kidney as the origin of the tumor,lateral projection angiogram via the arterial balloon catheter within the right middle meningeal artery demonstrating the fistula.,"flair axial mri image shows bilateral temporal lobe lesions and involvement of the pons. the lesions are hyperintense involving the central pons and anterior part of the temporal lobes. the temporal lobe lesions are symmetrical and bilateral. bitemporal involvement is characteristic of herpes simplex encephalitis, while basal ganglia and thalamic involvement is characteristic of japanese encephalitis.",,50-year-old man with intrapancreatic accessory spleen. axial ct scan of the abdomen in the arterial phase shows a hypervascular mass (arrow) in the pancreatic tail with similar attenuation values as the spleen.
chest ct showing a laceration on the posterior membranous wall of mid-trachea (arrow).,,on day 3 repeat computed tomography brain revealed diffuse cerebral edema with multiple watershed infarcts suggestive of hypoxic brain injury,"abdominal ct revealed a large, hypodense, cystic tube-like structure extending into the pelvic space.","bronchial artery branching pattern evaluation. a sagittal section of a thoracic ct scan which is used to evaluate the vertebral level of the bronchial artery origin of the bronchial arteries is shown (dashed line). a branching pattern of the bronchial arteries from a common trunk (one right and one left) originating from the aortic arch is also shown. ctb = common trunk of the bronchial arteries, rba = right bronchial artery, and lba = left bronchial artery.",ct scan showing a large area of irregular consolidation in the middle lobe extending into the upper lobe.,,computed tomography of the adrenal gland. horizontal view of the abdomen revealed 5-mm nodular thickening of the left adrenal gland and a nearly normal right adrenal gland (black arrow).
chest ct revealing a sternal fracture and a small substernal hematoma.,,computer tomography (ct) brain showing a 23 nm lenticular lesion in the left basal ganglia (blue arrow).,three fiducial markers (arrows) identified by abdominal radiography.,short axis view of great vessels is seen. aorta is on the left and pulmonary artery is on the right side,"pre-rt bulky tumor over the caudate lobe of the liver. the arrow indicates the bulky liver tumor with a size of 12.5 × 10 × 8.5 cm (estimated tumor volume by rt planning system, 608.5 c.c.). note that intravenous contrast cannot be given safely due to an elevated level of serum creatinine of 2.2 mg/dl. the afp level is 16,580 u/l at this timing (09/2012). afp = alpha-fetoprotein, rt = radiotherapy.",,sagittal plane computer tomography scan of the abdomen demonstrating a short segment small bowel intussusception without evidence of obstruction
erect chest x-ray confirming perforation following withdrawal of the nasogastric tube,,computerized tomographic studies of the brain showing evidence of a focal lesion,contrast-enhanced abdominal ct scan showing external compression of the bladder by the abdominal aortic and internal iliac artery aneurysm (coronal view).,stellate ganglion block using ultrasound-guided technique. local anesthetic was injected at the c6 transverse process. ca: carotid artery.,"cortical localization of channels significantly activated by passive listening of bi-syllabic words (p<fdr 0.05). red dots: near-infrared light emitters; blue dots: near-infrared light detectors; numbers 1–12 indicate channels and their localization on the left hemisphere (channels found significantly activated are indicated in black). the superior temporal gyrus is showed in green, the supramarginal gyrus in brown and the inferior parietal lobe in yellow.",,computed tomography scan of the abdomen at diagnosis. exophytic masses with multiple filling defects are present in the gastric mucosa.
"preoperative chest computed tomography demonstrates a tracheal bronchus supplying the right upper lobe and originating from the right lateral tracheal wall, 1.8 cm proximal to the carina on the coronal reconstructed image (arrow).",,axial brain ct image (noncontrast) of patient 2 showing hypodense areas in both thalami and basal ganglia.,axial view of the peritoneal component of the mass is invading the anterior abdominal wall muscles and protruding to the subcutaneous fat through linea alba,supine position. internal jugular vein (ijv) is found laterally to the common carotid artery (cca),"cect abdomen showing a large hydatid cyst in the right lobe of the liver with wall calcification (red arrow) and separation of membranes (pink arrow). the endocyst has herniated through the ectocyst (white arrow), giving rise to a dumbbell shaped appearance.",,ct abdomen showing enlarged spleen measuring 14.1 cm.
chest ct scan showing left mid lobe mass,,brain mri flaire image showing hyperintensities in basal ganglias,abdominal ct scan with intravenous and oral contrast showing the renal infarct to the left lower pole (arrow).,phpv. b-scan in a 5-month-old infant with leukocoria shows presence of a dense membrane containing the hyaloid artery (arrow) extending from the retrolental region to the optic disc. there is a retrolental mass (arrowhead),ct images at the level of a left lobe liver metastasis (arrow) and small incidental cyst (arrowhead). a. at 15 months after transplant b. at 30 months after transplant with decreasing size and central calcification within the metastasis.c. at 42 months after transplant with complete calcification of the metastasis. [powerpoint slide],,ct abdomen demonstrating thickened segment of ascending colon.
"an ap chest radiograph on a 55-year-old female immediately following cabg, shows hazy opacification at the lung base and blunting of the left costophrenic angle due to a small pleural effusion, which is a common feature following thoracotomy (black arrow)",,"plain magnetic resonance imaging of brain, t1wi showing mid posterior cerebellar, sub-acute, intracerebellar bleed with extension down towards foramen of magnum. peripheral hyperintensity in plain t1wi image is due to peripheral meth haemoglobin component",the blood flow of pregnancy tissue examined by transabdominal color doppler scanning contrast medium after high-intensity focused ultrasound ablation.,figure showing the angiography of left anterior descending artery,postoperative axial t2-wi mri scan at the same level after left temporal lobe resection.,,eighty year old woman with stage iiic papillary serous adenocarcinoma of the ovary (arrowhead). extensive resectable metastatic peritoneal nodules are arrowed in the abdomen. the pelvic disease causes bilateral ureteric obstruction with resultant bilateral hydronephrosis
chest x-ray showing right sided pleural effusion.,,"lateral skull x-ray. two deep brain stimulation electrodes (medtronic model 3389; minneapolis, mn, usa) were stereotactically implanted bilaterally from retromastoidal burr holes into the anterior lobe of the cerebellum.","abdominal computed tomography (ct) on day 5. abdominal ct to investigate the cause of epigastric pain showed localized swelling of the pancreatic body and tail, with no cholelithiasis or tumor obstructing the common bile duct or pancreatic duct, suggesting idiopathic pancreatitis.","anterior stemi with acute thrombotic occlusion of the left anterior descending artery (lad), prior intervention",case 2. a 37-year-old woman with complex pavm with two feeding arteries in left lower lobe,,computed tomography of the abdomen and pelvis showing subcutaneous air pockets on both sides (arrows).
"chest computed tomography on 31 august 2010. swelling of a lymph node, 20 mm in size, is recognized at the hilum of the left lung (arrow)",,multiple brain metastases secondary to adenocarcinoma of the colon affecting several hemispheric areas.,"preoperative abdominal ct image of the patient. note the oral contrast in the colon, past the ileocaecal junction.",coronary angiography image (60° left anterior oblique angle) obtained at the six-month follow-up shows 70% diameter stenosis in the second segment of the right coronary artery (arrow).,axial gre image showing hemorrhage in the right occipital lobe.,,"computed tomography scan (upper abdomen) revealed edematous, enlarged pancreas with multiple fluid collections around pancreas and in peritoneal cavity"
ct of the chest parenchymal view demonstrating a 1.2 cm spiculated left upper lobe nodule.,,a 13-yr-old girl with wilson disease that showed basal ganglia involvement in brain imaging,abdominal x-ray in the upright position: agile® patency capsule in the right iliac fossa with a few small-bowel air-liquid levels,coil insertionthe vascular distribution of the left colic artery is shown with contrast following placement of two 2mm by 4mm coils (arrows) in the affected marginal branch. the absence of extravasated contrast confirms that this was the source of the hemorrhage.,"magnetic resonance imaging showing an abnormal signal of left occipital lobe, dorsal thalamus, and partial insular.",,contrast-enhanced computed tomography of the abdomen showing multiple hypodense lesions in and around the spleen.
post-operative chest x ray in recovery room.,,"a follow-up scan 8 months following shunting. persistent supratentorial fluid-filled spaces of a comparable size. the longitudinal fissure of the brain and brain sulci are seen more clearly as compared to the preoperative scan, what indicates decreased intracranial hypertension. nonenhanced ct scan","abdominal ct showing tongue of thrombus extending into portal vein, bowel wall oedema and ascites.","identification of c6 level. ijv: internal jugular vein, ca: carotid artery.",riedel's lobe,,mri scan abdomen coronal view
"right ventricle lead in left main pulmonary artery. 73-year-old male with a dual-chamber pacemaker. chest x-ray pa view shows the right ventricle lead is misplaced (black arrowhead), taking a “swan ganz”-like course and ending in the left main pulmonary artery instead of the right ventricle apex. right atrium lead is correctly placed at the right atrial appendage (black arrow).",,follow-up brain mri t1-wi axial plane of a patient with ephedrone encephalopathy obtained 7 months later: reduction of signal intensity in globi pallidi in comparison to the initial image in figure 6 (globus pallidus to frontal lobe white matter signal intensity ratio is 105%; signal remains moderately increased compared to healthy individuals).,"after the four courses of chemotherapy treatment, computed tomography showed that the abdominal mass had regressed.","digital subtraction angiography of the basilar artery acquired 3 days after a bleeding event, in the oblique view demonstrates the cylinder-shape contrast stagnation in the upper basilar trunk at late arterial phase (arrow).","fdg-pet/ct shows significant hypermetabolic activity of left lower lobe nodule with a maximum suv of 8.0. notice the close relationship to the left inferior pulmonary vein that was found to be invaded in intraoperative examination. fdg-pet/ct, fluorodeoxyglucose positron emission tomography/computed tomography; suv, standardized uptake value.",,a contrast-enhanced ct of the abdomen showed a clear invagination of the small intestine.
lateral chest x-ray. dislocated sternal segments.,,central pontine myelinolysis. axial t2-weighted mr brain showing central hyperintensity in pons in a case of pontine myelinolysis.,"a plain abdominal radiograph obtained on re-admission, showing a small amount of intestinal gas in the upper abdomen.","angiogram 14 months after insufficient result of first embolization in a 44-year-old woman with a large fibroid burden demonstrates a substantial additional vascular supply to the uterus from the inferior mesenteric artery, not appreciated at first embolization",t2-weighted magnetic resonance image showing multiple lesions in the right lobe of the liver,,ct scan of abdomen with contrast showing bilateral psoas abscesses
chest x-ray on admission showing an unusual air fluid level in the lower chest.,,magnetic resounace imaging brain showing demarcation of cyst from brain,abdominal computed tomography demonstrates infrarenal abdominal aortic aneurysm (black arrow) with partial duodenal obstruction (white arrow).,the color doppler ultrasonography of the right lower limb showed the presence of the aneurysm at the right femoral superficial artery accompanied by peri-hematoma,axial plane ct of the abdomen without contrast done 1 week after the embolization demonstrates a large collection replacing most of the right hepatic lobe. there is central increased attenuation with layering (yellow arrow) consistent with retracting clot.,,ct scan of the abdomen showing enlarged retroperitoneal lymph nodes and infiltration of both kidneys with hypodense masses compatible with lymphomatous involvement.
chest x-ray,,sagittal postoperative scan showing brain stem decompression,ct scan demonstrating retro-peritoneal tumour. abdominal ct scan from case 3 highlighting retroperitoneal mass on ipsilateral side to original primary tumour. rplnd yielded a 120x85x40mm mass which was histologically confirmed as metastatic leydig cell tumour.,angiogram of the aortic arch in case 1 showing a misplaced central venous catheter (white arrow) entering the arterial system beyond the origin of the right vertebral artery. the tip of the catheter is in the aortic arch (black arrow).,"case 2 – rm (t2 axial) showing bilateral white matter hypointense signal, sug gestive of gliosis, restricted to frontal lobes.",,computed tomography scan of the abdomen and pelvis (sagital section) demonstrating the transrectal placement of a pigtail catheter.
chest x-ray showing paracardiac infiltration with hyperaeration.,,"midline sagittal t2-weighted section of magnetic resonance imaging brain showing absence of optic chiasm. the midline structures, like corpus callosum (thick white arrow), pituitary infundibulum (thin black arrows) etc., are normal. there is mild prominence of infundibular recess of third ventricle","contrast-enhanced abdominal computed tomography (ct). a thickened appendix, without signs of inflammation, including fat stranding and extra-luminal fluid, was observed in the coronal plane (yellow arrow). there were focal calcifications in the appendiceal wall (yellow arrowheads)",a 5 fr hydrophilic coated vertebral catheter was advanced into the brachiocephalic trunk to engage selectively the left common carotid artery.,t2-weighted image of gall bladder mass showing metastasis in right lobe of liver,,"ct scan at the diagnosis. contrast ctscan of the abdomen demonstrating an enlargement of the common bile duct (14 mm in diameter, see black arrow) and of the of the gallbladder with an inhomogeneous material into the lumen compatible with biliary sludge and microlithiasis. the extra-hepatic bile ducts swelling was evident until the upper papillary tract."
chest computed tomographic scan showing asymmetric depression of chest wall.,,normal left common carotid artery color doppler waveform in a 45-year-old male with a history of transient ischemic attack and normal brain computed tomography scan study,abdominal ct scan shows an adrenal mass 2.5 cm in diameter,left anterior oblique view of left main coronary artery with an anomalous origin off the right sinus of valsalva with intraseptal course.,large cavitating mass in right upper lobe.,,ct scan of thorax and abdomen demonstrating the abnormal anatomy
"x-ray chest 6-weeks after ligation of the fistula. x-ray of the chest (pa-view), taken 6-weeks after ligation of the fistula, showing resolution of the pleural effusion with no recurrence.",,coronal section of magnetic resonance imaging brain showing the location of craniopharyngioma,computed tomography of intra-abdominal cysts. arrows point to multiple cysts arising from the stomach wall (axial).,"the selective right coronary angiography illustrated the obvious dilated and tortuous rca with the coronary artery collaterals (indicated by white arrows) to lad. lad = left anterior descending coronary artery, rca = right coronary artery.",cumbo sign. the air crescent causing detachment between the pericyst and endocyst and air fluid level within the endocyst in right medial lobe of 8-year-old girl.,,"abdomen ct scan (transverse plane): the area indicated by the arrow shows a circumferential growth seen at the region of the duodeno-jejunal flexure, also involving the medial wall of the fourth part of the duodenum. it seems to extend beyond the serosa into the adjacent mesentery."
computed tomography with contrast showing bony projection of the deformed chest wall compressing the right ventricle (arrow).,,mri brain t1w contrast image,cholecystocutaneous fistula with multiple stones in the abdominal wall.,sinonasal hemangiopericytoma after embolisation with onyx. right maxillary artery embolised with onyx (→).,a computed tomography scan revealing an 8.7 mm nodule in the left upper lobe with well circumscribed with rounded borders,,ultrasound of the right upper quadrant/epigastric region demonstrates a hypoechoic collection in the region of the head of the pancreas. the suggestion of a tissue wall separates this collection from the ascites fluid in the abdomen.
chest x-ray of the patient showing infiltration in right lung,,"cect brain showing large iso- to hypodense, poorly enhancing left fronto parietal, with areas of calcifications",abdominal computed tomography demonstrating a large gas-filled structure in the left upper abdomen arising from the sigmoid colon.,angiogram of right iliac artery – high occlusion of iliac common artery,"cranial mri without contrast in the horizontal plane, demonstrating the mass effect on the left temporal lobe by the arachnoid cyst.",,ct scan of the abdomen showing the intraluminal hypodense filling defect with mottled appearance (arrow).
frontal chest radiograph demonstrating a large right upper lung bulla with internal layering of fluid.,,brain mri showing multiple intracranial masses compatible with metastatic disease.,abdominal ct scan showing a large splenic abscess. note the sequestrum of splenic tissue in the abscess cavity.,angiogram of the second patient demonstrating an aberrant right hepatic artery originating from the superior mesenteric artery.,mixed emphysematous changes noted in computed tomography thorax in bilateral lower lobes. bulla noted in right lower lobe. chronic focal pleural fluid collection was seen in left cardiophrenic angle,,ct scan of the patient's abdomen showing pneumobilia and a choledochoduodenal fistula.
chest radiography with reexpanded left lung and decreased pulmonary edema.,,contrast enhanced computed tomography brain showing dilatation of all the ventricles s/o obstructive hydrocephalus,sonographic image of a healthy infant shows the transverse portion of the duodenum positioned normally between superior mesenteric artery (sma) and abdominal aorta.,intraoperative illustration detailing the surgical corridor from a far lateral approach. xi: cranial nerve 11; a: abnormality; va: vertebral artery; xir: cranial nerve 11 rootlet; pica: posterior inferior cerebellar artery.,postinstubation radiograph showing progression of the right-upper lobe opacity.,,"ct scan of abdomen shows distended ascending colon, contained fecal matter, and air entrapment (arrow) with postappendectomy changes."
