x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
"chest x-ray pa view showing multiple cystic spaces with air-fluid levels over the mid and lower zones of either side, implicating cystic bronchiectasis with secondary infection. there is also transposition of the heart and gastric air",,,,,,,
chest x-ray with central venous catheter tip (white arrow) at superior vena cava-right atrium junction with patient in supine position (day 1),,,,,,,
"chest x-ray, posterior-anterior view – persistent peribronchial thickening in the lower lobes.",,,,,,,
figure 1:chest x-ray (ap view) showing bilateral pneumothoraces,,,,,,,
ap chest x-ray on admission.,,,,,,,
chest x-ray showing air bubbles in the left chest.,,,,,,,
chest x-ray showing cardiomegaly.,,,,,,,
the mass image in the right lung (chest x-ray).,,,,,,,
chest x-ray (postero-anterior view) showed bilateral hyperinflated lung fields along with loss of lung markings in left upper lobe and a thin white line in right upper lobe suggestive of wall of bulla.,,,,,,,
,,,,,,,10 days male baby x-ray shows gas between under the diaphragm and liver
chest x-ray showing left ventricular assist device (lvad)a = implantable cardioverter defibrillator (icd)b = left ventricular assist device (lvad)courtesy of: https://emrems.com/tag/lvad/,,,,,,,
,,,,x-ray: probe with endoureteral balloon in place in the right ureter at the level of the fistula with the right primitive iliac artery.,,,
chest x-ray (march 2012) showing consolidation with multiple nodules in both lower zones,,,,,,,
chest x-ray showing severe cardiomegaly.,,,,,,,
"the initial chest x-ray, showing dextrocardia.",,,,,,,
,,plain abdominal x-ray during ctt study 2 months after bowel cleansing,,,,,
chest x-ray showing a suspicious consolidation in the right upper lung field and diffuse bilateral haziness.,,,,,,,
chest x-ray taken 6 months prior to the day of admission showing mild hazy changes in bilateral lung fields.,,,,,,,
chest x-ray 36 hours postoperatively,,,,,,,
chest x-ray after left wll,,,,,,,
a chest x-ray on the 16th postoperative day showed no notable sequelae. the pulmonary infiltration rapidly resolved after the administration of glucocorticoids.,,,,,,,
preoperative chest x-ray.,,,,,,,
,,,,,,x-ray hand anteroposterior view (july 2012) showing marked sub periosteal resorption with frayed cortical outline involving the metacarpals and the phalanges. expansile lytic lesion is seen involving 4th metacarpal. no break in cortex seen - suggestive of brown tumor,
chest x-ray showing large retrosternal goiter.,,,,,,,
chest x-ray: acute onset of diffuse bilateral alveolar and interstitial opacities.,,,,,,,
x-ray image. a chest radiograph showed multiple fractures of the left fourth to seventh ribs (arrow) and right fifth to ninth ribs (arrow).,,,,,,,
,,,,,preoperative x-ray exam - lung opacity at upper right lobe,,
chest x-ray shows pneumomediastinum (arrow).,,,,,,,
"chest x-ray shows pulmonary overflow, left atrial enlargement, and cardiomegaly.",,,,,,,
"chest x-ray: clear lungs, cardiomegaly, and wide mediastinum.",,,,,,,
,,"x-ray abdominal film on admission, showing distended small bowel loops and gas-fluid levels.",,,,,
,,,,,,case 1: x-ray of osteolytic tumor of the right clavicle (arrow),
pre-operative chest x-ray of the patient. a postero-anterior x-ray film of the patient's chest taken just before surgery showing cannonball metastasis and pleural effusion in the right lung. the arrow indicates the cannonball metastasis.,,,,,,,
chest x-ray of a 14-month-old girl showing a u-shaped radiopaque foreign body into the left main bronchus.,,,,,,,
figure 1: chest x-ray showing a homogenous opacity in the right hemithorax with scattered calcification.,,,,,,,
"preoperative chest x-ray shows ill-defined patchy ground glass opacity in both middle lower lungs suggesting underlying aspiration pneumonia, considering the patient's history and minimal fibrotic scar in left apex. it also reveals endotracheal tube tip is placed in near the carina.",,,,,,,
chest x-ray taken eight months later showed significant resolution of the nodules/masses.,,,,,,,
x-ray chest showing a large intrathoracic mass.,,,,,,,
,,plain abdominal x-ray (erect) showing single huge air bubble in the stomach,,,,,
chest x-ray with arrow demonstrating pellet in right ventricle and multiple pellets in subcutaneous tissue of left shoulder and neck.,,,,,,,
chest x-ray. a thin-walled bulla within the left lower lung field,,,,,,,
x-ray of the chest showing right side pneumothorax along with left mid-zone non-homogenous opacity undergoing cavitation,,,,,,,
,,abdominal x-rays displaying a modified covered zeo stent that conforms to the shape of the bile duct.,,,,,
"chest x-ray showing bilateral extensive inhomogeneous shadows involving the middle and lower zones of both lung fields, with sparing of both upper zones",,,,,,,
"x-ray chest pa view showing non-homogenous opacity, left upper zone",,,,,,,
"chest x-ray demonstrating dialysis catheter in place, a normal sized heart and a left retrocardiac mass.",,,,,,,
"chest x-ray showing a bilateral pneumothorax, a left basithoracic opacity, and an abnormal cardiac silhouette",,,,,,,
abdomen and chest x-ray. the arrow indicates the tip of the nasointestinal tube within the jejunum,,,,,,,
"rtg posteranterior: chest x-ray has shown bilaterally pleura-diaphragmatic adhesions, other findings are normal",,,,,,,
,,simple abdominal x-ray. simple abdomen shows no bowel gas in the left upper quadrant with displacement of bowel to the right abdomen by the left upper quadrant mass.,,,,,
chest x-ray showing pacemaker and pacing leads.,,,,,,,
"posterior to anterior chest x-ray shows left perihilar parenchymal scars, surgical clips, and postoperative changes in the chest.",,,,,,,
,,abdominal x-ray in post laparotomy patient with postpyloric feeding tube,,,,,
"the chest x-ray as a baseline study for general anesthesia. osteolytic lesions of the right second, third, eighth, and left fourth ribs, which is suggestive of multiple bone metastases.",,,,,,,
"the initial chest x-ray of the patient on hospital admission. the initial chest x-ray (cxr) shows bilateral, mild, patchy, central lung infiltrates.",,,,,,,
chest x-ray of an ards victim who has developed multiple pneumothoraces secondary to a bronchopleural fistula.,,,,,,,
,,preoperative plain abdominal x-ray in erect position. metallic foreign body (pin) under right superior pubic ramus is seen. no air-fluid levels suggesting intestinal obstruction are seen.,,,,,
case 1: chest x-ray reveals hyperinflated lung fields and fibrocalcified lesion in left upper zone and a semilunar line (arrows) extending from left upper to mid zone,,,,,,,
chest x-ray demonstrating increase of cardio thoracic ratio and costophrenic angle blunting,,,,,,,
chest x-ray shows minimal luminal narrowing of the catheter (arrow).,,,,,,,
chest antero-posterior x-ray.,,,,,,,
chest x-ray revealing large mass in left hemithorax,,,,,,,
chest x-ray. right lung was pushed upwards and right hemithorax was filled with intestines.,,,,,,,
,,the plain film radiograph. plain abdominal x-ray shows a retained surgical gauze (black arrow) in the abdominal cavity.,,,,,
anteroposterior chest x-ray demonstrating opacity in both lung fields,,,,,,,
significant healing on chest x-ray findings (after 18 hours of leiurus abdullahbayrami envenomation).,,,,,,,
chest x-ray demonstrates ards.,,,,,,,
chest x-ray during acute disease.,,,,,,,
right-sided pneumothorax as shown by the arrows (right) on initial chest x-ray with tracheostomy tube repositioned (top arrow),,,,,,,
chest x-ray (pa) showing a mass in the left hilar region (indicated by arrow),,,,,,,
,,,,,,x-ray after curettage and bone cement packing of a sacral tumor. postoperative x-ray of case 14 after intralesional curettage and bone cement packing.,
,,the abdominal x-ray evaluation of the rett syndrome patient. dilated colon segments are seen on the x-ray. dilated small intestine is also observed. there a colonic loupe on the left lower quadrant. scoliosis is seen on the abdominal x-ray.,,,,,
x-ray chest on the day of accident,,,,,,,
chest x-ray showing fragmented tracheostomy tube migrated to the left lower main bronchus.,,,,,,,
"chest x-ray reveals unfolding of aorta, hazy right parahilar and para cardiac area",,,,,,,
"follow-up chest x-ray, expiratory view, two weeks later, shows resolution of previous findings.",,,,,,,
,,"abdominal x-ray taken eight hours after egd with cautery and epinephrine shows free air under the diaphragm. the arrows show rigler’s sign and triangle sign. of note, the triangle sign is the most specific albeit the least sensitive sign of free air.",,,,,
chest x-ray showing hydatid cyst in the left lower lobe,,,,,,,
chest x-ray showing mass lesion in the right mid-zone (case 2),,,,,,,
lateral chest x-ray showing pneumopericardium,,,,,,,
"chest x-ray with a significantly enlarged heart silhouette, mild bilateral pulmonary oedema formation and right upper lobe atelectasis with an endotracheal tube placed within the right main bronchus.",,,,,,,
chest x-ray with visible steels coils after embolotherapy of pulmonary arteriovenous malformations within the perihilar left upper lobe and small arteriovenous malformation within the apical segment of the right lobe.,,,,,,,
radiographic image of the myeloma patient. chest x-ray showed pleural masses after drainage of the myelomatous pleural effusion (arrows).,,,,,,,
x-ray chest on 3rd day of accident,,,,,,,
"chest x-ray showing cardiomegaly, elevation of the left bronchus, and double shadow suggestive of left atrial enlargement with signs of pulmonary venous hypertension with prominent right pulmonary artery",,,,,,,
chest x-ray of the patientᅟ,,,,,,,
x-ray chest pa view showing a radio-opaque foreign body at the level of cricopharynx.,,,,,,,
chest x-ray with minimally advanced lesion.,,,,,,,
chest x-ray showing right side pneumothorax,,,,,,,
chest x-ray showing cardiomegaly and increased pulmonary vasculture,,,,,,,
chest x-ray shows a triangular opacified area posterior medially in left lung.,,,,,,,
chest x-ray showing deposition of high-density material,,,,,,,
32-year-old man with cardiac and pulmonary sarcoidosis (case #1). ap chest x-ray. note perihilar fullness and bilateral nodular opacities.,,,,,,,
"chest x-ray showing improvement of pleural effusions after abdominal paracentesis, suggesting that the fluid was communicating between pleural and peritoneal cavities.",,,,,,,
,,"abdominal x-ray showing a radiopaque stent in the left collecting system: the upper extremity is apparently uncoiled and there are two short interruptions at the proximal third, while the lower extremity forms a wide coil inside the bladder.",,,,,
chest plain film x-ray during admission in 2014 revealed extensive perihilar opacities.,,,,,,,
chest x-ray of a pah patient showing a prominent pulmonary artery and enlargement of the right atrium and right ventricle. there is also mild rarification of peripheral lung vasculature,,,,,,,
lateral chest x-ray showing radio-opaque foreign body.,,,,,,,
x-ray chest showing features of ards,,,,,,,
chest x-ray at admission. the chest x-ray is normal with a slight cardiomegaly.,,,,,,,
chest x-ray on day 14 after chemotherapy (anc was less than 100 cell/μl).,,,,,,,
the chest x-ray revealed multiple pulmonary nodular lesions.,,,,,,,
chest x-ray showing far advanced lesion with cavity more than 4 cm in diameter.,,,,,,,
chest x-ray with the k wires and cerclage in situ. reproduced from [25] with permission,,,,,,,
"chest x-ray. elevation of the right hemidiaphragm is noted. a pigtail catheter is in place, and the pneumothorax has been resolved.",,,,,,,
lateral chest x-ray after reduction of the dislocated sternum.,,,,,,,
chest x-ray on the first postoperative day showing right pleural effusion with mediastinal and left drains in place.,,,,,,,
"pneumomediastinum with pneumoretroperitoneum was significantly improved compared with the status of the previous day, on the chest x-ray (antero-posterio) that was performed on the first day after surgery.",,,,,,,
preoperative chest x-ray.,,,,,,,
"plain x-ray of the left shoulder. plain x-ray of the left shoulder showing fractures of the left scapula body, left humerus, left distal clavicle, left 3–8th ribs, and left chest wall soft tissue swelling",,,,,,,
baseline chest x-ray.,,,,,,,
"chest x-ray on admission, showing an infiltrative shadow in the left upper lobe.",,,,,,,
"chest x-ray revealing mild cardiomegaly, dilated right descending pulmonary artery, and oligemia in the right lung",,,,,,,
,,abdominal x-ray demonstrating stent in the left lower quadrant with dilated loops of small bowel.,,,,,
chest x-ray showing a large left pulmonary opacity.,,,,,,,
,,,,,"initial x-ray reveals heterogeneous congestion of both lungs, mostly in the lower right lobe.",,
chest x-ray 5-6 weeks before admission showing bilateral patchy lung opacities.,,,,,,,
chest x-ray showing diffuse subcutaneous emphysema (black arrows) and a right-side pneumothorax (white arrows).,,,,,,,
chest x-ray of the patient with dense infiltration in the left lower lobe,,,,,,,
,,abdominal x-ray showing pin in the right upper quadrant,,,,,
the initial chest x-ray reveals a pleural thickening in the right lung.,,,,,,,
"x-ray chest showing bilateral clavicular thickening, sclerosis and overlying soft tissue swelling",,,,,,,
chest x-ray showing a dense homogenous radiopaque opacity involving most of the right hemithorax.,,,,,,,
there is no active or old lesion of tb in chest x-ray,,,,,,,
chest x-ray in posteroanterior projection. cephalization of the pulmonary vasculature and accentuated cardiomegaly.,,,,,,,
chest x-ray showing a ‘white-out’ of the right lung field. note also the significant right breast and arm oedema. there is a kinked left internal jugular dialysis catheter at the level of the right brachiocephalic vein/superior vena cava.,,,,,,,
ap chest x-ray showing a radiolucency over the cardiac silhouette just above the diaphragm (arrowhead).,,,,,,,
chest x-ray image. local infiltration in the upper lobe of the left lung (white arrow),,,,,,,
"chest x-ray posteroanterior view of the newborn baby, who was born to a mother with antenatal exposure to olanzapine, suggestive of tracheo-esophageal fistula",,,,,,,
,,abdominal x-ray showing foreign bodies in the renal area.,,,,,
"chest x-ray. diffuse, bilateral, small lung nodules suggestive of acute miliary pulmonary tuberculosis.",,,,,,,
chest x-ray showing right upper lobe cavitary lesion with a large pneumothorax and pleural effusion.,,,,,,,
appearance of postoperative right diaphragm in chest x-ray.,,,,,,,
"preoperative chest x-ray, demonstrating dextrocardia.",,,,,,,
controlled chest x-ray is normal.,,,,,,,
,,,,,,,left lateral decubetus x-ray of the abdomen showing free gas above the liver.
plain chest x-ray indicating the loop gas into the thorax.,,,,,,,
chest x-ray showing right parahilar cavitary lesion,,,,,,,
chest x-ray showing the misplacement of right internal jugular hemodialysis catheter,,,,,,,
chest x-ray revealing double-contour of the left cardiac border and inhomogeneous infiltrates on the left lower zone,,,,,,,
"x-ray chest, pa view, showing bilateral inhomogeneous infiltrates, more on the left side",,,,,,,
the second chest x-ray with the thoracic drain. the lung is correctly expanded. there is a suspect shadow along the lateral right chest wall.,,,,,,,
repeat chest x-ray after intubation shows worsening bilateral aeration with developing patchy infiltrates.,,,,,,,
"preoperative chest x-ray shows cardiomegaly, dual lumen catheterization and central vein catheterization in the morbidly obese patient.",,,,,,,
chest x-ray of patient in arrival day,,,,,,,
chest x-ray two weeks after second discharge.,,,,,,,
"chest x-ray (october 21, 2013), posteroanterior (pa) view: pulmonary interstitial infiltrates and cardiomegaly.",,,,,,,
x-ray of the chest. x-ray of the chest confirming the presence of the capsule in the left side of the bronchopulmonary tree.,,,,,,,
postoperative chest x-ray showing course of pulmonary artery catheter,,,,,,,
,,x-ray abdominal film showed distended small bowel loops and multiple gas fluid levels.,,,,,
chest x-ray pa/lt showing haziness of the right lower lobe and what appears to be an air/fluid level,,,,,,,
chest x-ray showing nodular opacities in both lung fields,,,,,,,
,,abdominal x-ray demonstrating rigler's sign.,,,,,
chest x-ray: the right eccentricity of the trachea,,,,,,,
chest x-ray showing a diffuse over-inflation of the lungs.,,,,,,,
"chest x-ray illustrating pneumoperitonuem, pneumomediastinum and cervical emphysema.",,,,,,,
,,upright abdominal x-ray demonstrating caudal displacement of the transverse colon by the fluid filled and enlarged stomach.,,,,,
example of grade 3 rp in the apical-lateral region of the left lung on chest x-ray. (= total score 3).,,,,,,,
chest x-ray view showing bifid ribs in the posterior aspect of both 3rd rib.,,,,,,,
chest x-ray on admission. a chest x-ray radiography showed no pulmonary lesion and no cardiomegaly (cardio-thoracic ratio was 48%).,,,,,,,
chest x-ray pa view showing complete opacity on left side and scoliosis,,,,,,,
chest x-ray within 6 h of packed red cell transfusion showing bilateral white out of lung fields,,,,,,,
"chest x-ray in one patient at admission, demonstrating features of meconium aspiration.",,,,,,,
,,,,,"endobronchial applicator with metal marker inside used for treatment planning, tumour localized in right upper lobe bronchus, x-ray picture",,
"postoperative chest x-ray. seen are a single lumen ett (dlt was replaced with slt for bronchoscopy), three right chest tubes, and tiny right apical and basilar pneumothoraces. infiltrate is observed throughout both lungs.",,,,,,,
chest x-ray showing pulmonary edema.,,,,,,,
chest x-ray after removal of indwelling pleural catheter showing a large right-sided loculated hydropneumothorax.,,,,,,,
x-ray chest s/o multiple nodular opacities in bilateral middle and lower zones,,,,,,,
,,,,,,"one year after the operation, x-ray showed no recurrence of the tumor, no absorption of the grafted bone, and no ulnar translation of the entire carpus. there was no convergence of the proximal stump of the ulna toward the radius.",
"chest x-ray of the patient. after 14 asymptomatic years, new symptoms occurred. the chest x-ray showed progression of the known left upper lobe lesion.",,,,,,,
"chest x-ray showed consolidation on left lower lung fields, especially retrocardiac space.",,,,,,,
chest x-ray after 24 hours,,,,,,,
chest x-ray revealing bilateral cervical ribs,,,,,,,
,,plain abdominal x-ray showed a single loop of dilated small bowel (arrow key).,,,,,
,,,,,control x-ray: multifocal inflammatory and atelectatic areas are seen in the right lobe which was defined as progression of pathological changes. similar changes are also present in the left lower lobe.,,
chest x-ray showing gas filled bowel loops in the right hemithorax,,,,,,,
"chest x-ray, postero-anterior view showing a biotronik crt-d with a ra lead, rv high voltage lead, rv pacing/sensing lead and lv lead in the coronary sinus.",,,,,,,
normal chest x-ray on follow-up.,,,,,,,
pre-operative chest x-ray (cxr) demonstrating a left sided pleural effusion with a loop of bowel within the left hemithorax,,,,,,,
chest x-ray after chest drainage.,,,,,,,
,,abdominal x-ray – evident pneumobilia.,,,,,
chest x-ray before the installation of ecmo.,,,,,,,
initial lateral view chest x-ray.,,,,,,,
early post-op chest x-ray showing patchy shadowing/ consolidation over the left side of chest,,,,,,,
magnified view of the immediate postoperative chest x-ray suggestive of a knot in the catheter identified by retrospective scrutiny,,,,,,,
chest x-ray with contrast agent infusion. malposition of the catheter was detected: detachment of the portable catheter from the port. detached catheter migrated into the left pulmonary artery.,,,,,,,
,,control abdominal x-ray showing that the shunt material completely migrated into the pelvic inlet,,,,,
x-ray chest posteroanterior view with infiltration of left lung,,,,,,,
chest x-ray showing diffuse multiple miliary opacities in bilateral lung fields,,,,,,,
chest x-ray showing no evidence of active pulmonary disease.,,,,,,,
posterior-anterior view chest x-ray showing left perihilar opacity and medial displacement of the gastric bubble.,,,,,,,
anteroposterior chest x-rayanteroposterior chest x-ray showing metallic nail overlying the heart (arrows). also seen are buckshot overlying the left lateral chest wall and a healed left lateral rib fracture associated with a prior injury.,,,,,,,
a chest x-ray after the dialysis catheter was removed and the triple-lumen catheter was repositioned showing its tip in the right subclavian vein.,,,,,,,
chest x-ray (posterior-anterior view),,,,,,,
chest x-ray revealed two fairly large unruptured hydatid cysts in the right lung and ruptured hydatid cyst in the left lung.,,,,,,,
hilar lymphadenopathy on chest x-ray,,,,,,,
chest x-ray showing a right hemithorax opacification and left lung vicariance. note the rightward deviation of the mediastinal structures.,,,,,,,
"a supine anteroposterior chest x-ray of one porcine model diagnosed with a basal right-sided pneumothorax. although the chest anatomy between pigs and humans differ, the intrapleural distribution of air is similar with air collecting in the anteromedial and basal recesses. the radiological review of pneumothorax for humans was therefore also applied on our models. the radiologist interpreted each picture for a readily apparent visceral pleural line without distal lung markings, depressed diaphragm and the deep sulcus sign (i.e. enlargement of the costophrenic angle).",,,,,,,
"pathological features in chest and long bones.a. calcified ligaments and interosseous costal cartilages, 40-year-old male; b. proximal first and sixth rib epiphyses with prominent exostoses due to interosseous cartilage calcification, 27-year-old female and 40-year-old male; c. cross section of the mid-shaft of tibia showing extensive cortical thickening, increased bone matrix density, intracortical resorption and reduced medullary space, 40-year-old male; d. digital x-ray image (lateral view) of the previous tibia, showing a “marble-like” appearance (arrows) symptomatic of marked osteosclerosis; e. prominent calcification of costosternal and costoxiphoid ligament attachments (arrows) in the sternum, 40-year-old male; f. ligamentous and interosseous membrane ossification at multiple sites (arrows) in the fibula, 40-year-old male; g. calcification and osteophytosis at the attachment of the deltoid muscle (arrows) in the clavicle, 9-year-old male; h. ankylosis of toe distal interphalangeal joint, 29-year-old male (bone images are in 1∶2 size).",,,,,,,
"chest x-ray, showing the lost guide wireiabp, intra-aortic balloon pump",,,,,,,
chest x-ray showing mediastinal widening.,,,,,,,
chest x-ray on day one of admission.,,,,,,,
x-ray chest.,,,,,,,
chest x-ray showing subdiaphragmatic free air,,,,,,,
chest x-ray on postoperative day 1. the catheter is parallel to the wall of right subclavian vein and shows a gentle curvature within the superior vena cava (arrows).,,,,,,,
"chest x-ray, lat, showing the position of the gun nails",,,,,,,
,,abdominal x-rays showing left diaphragmatic hernia,,,,,
"chest antero-posterior x-ray showing a normal heart size, and a more marked pulmonary vasculature, particularly at basal level. a central venous catheter is evident as well.",,,,,,,
chest x-ray film showing a huge mediastinal tumor,,,,,,,
preoperative chest x-ray showing massive pleural fluid,,,,,,,
chest x-ray showing right pleural effusion as well as pneumonic infiltrates in the middle third and lower lobe of the left lung.,,,,,,,
,,plain abdominal x-ray demonstrates distension of small bowel and multiple air-fluid levels (arrow).,,,,,
,,"patient number 1, postpartum abdominal x-ray 8/30/2014: essure (circled in red) in the abdomen.",,,,,
chest x-ray at the first visit.,,,,,,,
initial chest x-ray showing scoliosis and a cobb’s angle of 27° (t10-l4).,,,,,,,
chest x-ray. the ventricular pacemaker lead follows an unusual course (black arrows) due to its placement via a pfo into the left ventricle.,,,,,,,
"chest x-ray done four years after the laparoscopic repair, showing no evidence of hernial recurrence.",,,,,,,
chest x-ray showing numerous rib fractures,,,,,,,
"initial chest x-ray demonstrated a large right pleural effusion, that occupies 2/3 parties of the right hemithorax accompanied with fever and right chest pain.",,,,,,,
"chest x-ray 48 hours after intensive care unit admission. we see a clear improvement, with decreased bilateral infiltrates, compared with previous x-ray.",,,,,,,
,,,,,,,"x-ray abdomen of the patient in supine (l) and standing (r) showing double wall appearance of the intestines (rigler’s sign) with a clear liver edge and air under the diaphragm (‘football’ sign). in the standing anteroposterior view, a bubble-like low density patch can be seen in the duodenal region showing a perforated site."
"x-ray of the chest taken in the erect position, showing dextrocardia, fundic gas shadow under the right dome of the diaphragm, the liver shadow and free gas under the left dome of diaphragm.",,,,,,,
chest x-ray shows bilateral pronounced pulmonary infiltrates with accompanying left-sided pleural effusion.,,,,,,,
"pericardial calcification in a patient with constrictive pericarditis. in this patient with end-stage renal disease with multiple physical signs of increased systemic venous pressure, we can come to the diagnosis of constrictive pericarditis for sure with this chest x-ray finding even in the absence of further diagnostic tests.",,,,,,,
chest x-ray after implantation of an extracardiac cardioverter defibrillator system at the age of five months,,,,,,,
chest x-ray (posteroanterior view) showing heart in the right hemithorax.,,,,,,,
a fusion of a rectilinear scan using i-131 rose bengal with a chest x-ray outlining the position of the diaphragm was used to diagnose subphrenic abscess before the availability of ct scanning and ultrasound. this represented one of the first examples of “anatamometabolic” imaging.,,,,,,,
chest x-ray showing several non-calcified lung nodules and widened mediastinum due to metastasis to mediastinal lymph nodes.,,,,,,,
magnified chest x-ray image of the device in-situ in the left pre-pectoral pocket prior to pocket revision showing complete pin insertion.,,,,,,,
chest x-ray revealing right sided apical lung lesion.,,,,,,,
chest x-ray of case 2 showing pulmonary oedema.,,,,,,,
,,,,,"lateral plain x-ray of the skull demonstrates the trajectory of the metallic rod, which enters approximately 1 cm above the supraorbital rim, involves the frontal sinus, and points through the right temporal lobe for an intracranial length of 14.5 cm.",,
chest x-ray (anteroposterior view) demonstrating cardiomegaly,,,,,,,
"chest x-ray showed right hemithorax opacification due to a large-sized mass with calcium density and destruction/erosion of the 4th–7th right costal arches, plus leftward tracheal deviation and centralized intestinal luminogram.",,,,,,,
,,,,x-ray angiogram of the abdomen revealed pseudoaneurysms in the distal gastroduodenal artery.,,,
postoperative chest x-ray ap view on mechanical ventilation showing opened up left lung,,,,,,,
chest x-rays posteroanterior view patient (3) showed bilateral fluffy infiltrates with normal cardiac shadow suggestive of non-cardiogenic pulmonary edema,,,,,,,
chest x-ray showing the course of central venous catheter from subclavian to internal jugular vein,,,,,,,
posteroanterior chest x-ray study returned to normal after free aspire treatment.,,,,,,,
chest x-ray post-op.,,,,,,,
,,abdominal x-ray showing 2 radiopaque objects in the mid-abdomen.,,,,,
postoperative chest x-ray showing reduction of cardiothoracic ratio.,,,,,,,
,,abdominal x-ray displayed multiple dilated loops of small bowel.,,,,,
chest x-ray showing right sided moderate pleural effusion (hepatic hydrothorax).,,,,,,,
chest x-ray showing a right-sided pleural effusion,,,,,,,
chest x-ray showing the “sheared” (black arrow) central venous catheter and the “tracheal bronchus” (white arrow).,,,,,,,
,,abdominal x-ray on admission. normal findings.,,,,,
portable chest x-ray depicting an enlarged cardiac silhouette and mediastinum.,,,,,,,
chest x-ray showing cannon-ball pulmonary metastases,,,,,,,
chest x-ray showing diffuse infiltrates.,,,,,,,
"chest x-ray: dynamics of reperfusion pulmonary oedema after pulmonary thromboendarterectomy, the 18th day of ecmo; figure demonstrates dynamics of reperfusion pulmonary oedema",,,,,,,
chest x-ray: normal,,,,,,,
up-right chest x-ray demonstrating air in the gallbladder (arrow) and in its wall (arrowheads).,,,,,,,
"posteroanterior chest x-ray showing pneumomediastinum (arrowheads), together with extensive subcutaneous emphysema in the supraclavicular and axillary regions (arrows).",,,,,,,
"chest x-ray (posteroanterior view) shows ill-defined patches of alveolar opacities, more in central lung fields and the para-cardiac region. blunting of the costophrenic angles is evident from the small amount of pleural effusion.",,,,,,,
chest x-ray at presentation. antero-posterior chest-x ray incidence showed a normal cardiothoracic index with mild hilar ingurgitation and right pleural effusion.,,,,,,,
chest x-ray on the day of admission. chest x-ray showed nodular lesions (arrows) in the left lung field.,,,,,,,
"x-ray chest showing hypertranslucency at the upper zones, reticular shadows at the lower zones, and peripheral lung opacity at the left midzone",,,,,,,
"chest x-ray pa view; post-icd day-1, showing icd in situ with soft tissue density with concave margins left side in para-cardiac region extending from the abdomen into thoracic cavity",,,,,,,
chest x-ray shows left-sided congenital diaphragmatic hernia with herniating loops of large bowel into the right hemithorax.,,,,,,,
chest x-ray,,,,,,,
chest x-ray performed during period of hypoxia demonstrating bilateral fluffy infiltrates compatible with pulmonary haemorrhage.,,,,,,,
posteroanterior chest x-ray shows minimal right-sided pleural effusion; there is left-sided pleural calcification,,,,,,,
chest x-ray posteroanterior view showing eventration of right dome of diaphragm,,,,,,,
plain chest x-rays on admission revealing bilateral pneumothorax.,,,,,,,
chest x-ray: atelectasis of the left lung,,,,,,,
,,upright plain abdominal x-ray showing a hugely dilated large bowel loop and distended small bowel with air fluid levels,,,,,
chest x-ray of the patient showing the pacemaker in situ and the approximate position of the breast cancer.,,,,,,,
prominent pectus excavatum upon lateral chest x-ray.,,,,,,,
chest x-ray showed bilateral acute pulmonary edema.,,,,,,,
chest x-ray shows soft tissue swelling on the left chest wall with internal air density.,,,,,,,
chest x-ray on the day of admission.,,,,,,,
erect chest x-ray demonstrating free gas under the right and left hemi-diaphragms.,,,,,,,
chest x-ray (pod 4). the chest x-ray reveals a cloudy right lung and severe consolidation in the upper lobe of the lung.,,,,,,,
"chest x-ray showing soft tissue in left lateral part of the chest wall, left lower lung mass collapse, decrease lung mass with left-sided pneumothorax.",,,,,,,
chest x-ray image showing multiple spherical lesions in both lungs.,,,,,,,
"admission chest x-ray showing evidence of previous sternotomy (repaired tetralogy of fallot), cardiomegaly and implanted cardioverter defibrillator in left pectoral region",,,,,,,
bilateral bifid ribs (white arrow) are demonstrated by chest x-ray.,,,,,,,
initial chest x-ray showed air fluid level in left thoracic cavity.,,,,,,,
,,a plain abdominal radiograph. abdominal x-ray showed a dilated colon and the presence of intraluminal air along the entire wall of the colon (black arrows).,,,,,
the admission chest x-ray showing complete opacification of the left hemithorax and displacement of the mediastinum to the right.,,,,,,,
,"lateral skull x-ray. two deep brain stimulation electrodes (medtronic model 3389; minneapolis, mn, usa) were stereotactically implanted bilaterally from retromastoidal burr holes into the anterior lobe of the cerebellum.",,,,,,
chest x-ray pa view showing lobulated rounded/oval opacity in bilateral paracardiac region,,,,,,,
,,,,,,,"patient number 2, postpartum pelvic x-ray 10/13/15: essure (circled in yellow) in the right upper quadrant around the liver. the 2nd essure insert (circled in red) is seen by lumbar vertebra."
chest x-ray showing multiple nodules of various sizes in both lung fields.,,,,,,,
,,abdominal x-ray after 3rd colonic stent.,,,,,
chest x-ray showing free air under diaphragm (single arrow head) along with the bochdalek hernia on the right side (double arrow head).,,,,,,,
the chest x-ray with the chest tube through the left hemithorax near the midline,,,,,,,
,,,,,,,"x-ray (rao 0°): after tricuspid valve repair using the mitraclip system – steerable guide and clip delivery system retracted into the right atrium, closed clip deployed. tee probe in transesophageal position. acurate ta aortic bioprosthesis implanted"
,,abdominal x-ray lateral view showing the air in the peritoneum (marked by arrow),,,,,
x-ray chest showing increase in pneumopericardium after endoscopic removal of battery cell from esophagus,,,,,,,
chest x-ray showing left side airspace consolidation and elevated left diaphragm due to left lower lobe collapse,,,,,,,
chest x-ray at 15 months postoperatively showing fully expanded lungs.,,,,,,,
chest x-ray at 35 days after delivery.,,,,,,,
