computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,thrombosis and calcification of the abdominal aorta on computed tomography with angiographic study (axial view).,,,,,
,,,,computed tomography angioram showing circumferential wall thickening of abdominal aorta causing narrowing of the lumen with occlusion of the celiac trunk (arrow). satisfactory opacification of aortic bypass graft seen (arrowhead),,,,,
chest computed tomography scan shows markedly increased pericardial effusion with cardiac tamponade (arrow).,,,,,,,,,
,,,,a 39-year-old male patient with complaints of left flank pain and abdominal distension.intravenous contrast-enhanced axial computed tomography scan section of the left kidney shows multiple simple unenhanced hypodense cysts separated by contrast-enhanced thinned out residual renal tissue (white arrow).,,,,,
,"a 72-year-old woman with a paralyzed left vocal cord. contrast-enha-nced ct demonstrates a large lung cancer in the left upper lobe with invasion in the aorticopulmonary window (arrows). ct, computed tomography.",,,,,,,,
,,,,presence of a left renal mass on abdominal computed tomography scan.,,,,,
,,,,"abdominal computed tomography scan shows the 5×5-cm-sized, heterogeneous mass in left adrenal gland (white arrow).",,,,,
,,,,,,,computed tomography scan thorax with metallic foreign body in left lower lobe,,
,,,,,,computed tomography angiography of left internal carotid artery; pseudoaneurysm location is confirmed.,,,
,,,,,computed tomography scan showing a mucosal lesion without bone involvement (coronal view).,,,,
,,,,,,"computed tomography scan confirmed a large retroperitoneal hematoma from a left renal artery pseudoaneurysm, which extended through a gap in the anterior renal fascia from a left perirenal hematoma.",,,
,,,computed tomography scan brain of a 2½-year-old female child with moyamoya disease showing infarction in left temporo-parietal region,,,,,,
chest computed tomography scan obtained at the 10-month follow-up visit.note: an increase in subcutaneous and mediastinal fat is accompanied by disappearance of the gas density in the mediastinum.,,,,,,,,,
,,,,,"dynamic computed tomography (coronal view) in venous/delayed phase, revealing a giant heterogeneous liver mass extending from the diaphragm to the pubis, and involving the left lobe and right anterior section of the liver.",,,,
,,,,,coronal image of arterial phase of computed tomography scan of abdomen showing two peripherally enhancing lesion at lower pole of renal allograft,,,,
,"example of continuous mean lung density measurements in the right upper lobe using phyziodynamics software (ziosoft inc., minato-ku, tokyo, japan).note: a spherical volume of interest (voi) with a fixed volume (10 mm in radius) is placed and the center point of the voi is tracked throughout the dynamic computed tomography (also see supplementary materials).",,,,,,,,
,,,,"contrast-enhanced computed tomography of the abdomen and pelvis. the abdominal contents, including the left kidney (solid arrow) and spleen (arrowhead), are displaced into the right upper quadrant by a large retroperitoneal fluid collection (asterisk). the right kidney (hollow arrow) remained in the right retroperitoneum.",,,,,
"chest computed tomography scan: hypodense, irregular, large nonhomogeneous right ventricular mass, which appeared to infiltrate not only the right ventricular wall (thin arrows) but also the apex (thick arrow) and the interventricular septum.",,,,,,,,,
,,,,,,,,"computed tomography of the trachea, demonstrating a tracheal tumor involving the posterior wall of the trachea.",
,,,,,,,,computed tomography image showing the extent of the large destructive tumor.,
axial angio computed tomography of the chest demonstrating alterations of the ascending aorta's wall suspicious of an intramural hematoma.,,,,,,,,,
"computed tomography of the chest showing a mass in the anterior mediastinum (ao, ascending aorta; ma, mass).",,,,,,,,,
,"computed tomography scan of an 81-year old man with biopsy-proven ipf. a peripheral distribution of reticular opacities is demonstrated. honeycombing and traction bronchiectasis are notably absent. in the absence of specific findings, a surgical lung biopsy was needed to make a diagnosis. * reprinted from fishman's pulmonary diseases and disorders, 4th edition 2007. meltzer, eb and noble, pw: chapter 70, idiopathic pulmonary fibrosis. with permission from mcgraw-hill companies.",,,,,,,,
,,,,,,"head computed tomography image without contrast, showing left middle cerebral artery territory infarction.",,,
,,,,,,postoperative computed tomography angiography revealing a patent radial artery graft with improvement in circulation in the right hemisphere as compared to the left after carotid ligation,,,
,,,,,,,,"computed tomography showing an 82.2-mm, well-circumscribed, enhanced round tumor with solid and cystic components arising from the left adrenal gland.",
computed tomography of chest showed progressive dilated aorta and enlarged intramural hematoma (arrow).,,,,,,,,,
,,,,abdominal computed tomography scan revealing extensive small bowel adhesion and massive abdominal ascites.,,,,,
,,,,,,,non- contrast axial computed tomography of the head demonstrates bilateral cortical hypointensities involving the occipital lobes.,,
,,,,"on contrast abdominal computed tomography, the liver and spleen were normal in size and shape.",,,,,
,,,,,,,,,computed tomography scan showing multiple liver metastases prior to second-line palliative chemotherapy.
"chest computed tomography demonstrating right pneumothorax, and bilateral infiltrative shadows had progressed.",,,,,,,,,
,computed tomography thorax (lung window) showing bilateral pulmonary alveolar edema,,,,,,,,
,,,,,,a computed tomography angiogram shows stenosis of the superior mesenteric artery (arrow).,,,
,contrast enhanced computed tomography thorax with the lung window,,,,,,,,
,,,,,,computed tomography angiogram of aortic arch and main branches—left subclavian artery not visualized beyond first part,,,
,,,,abdominal computed tomography. a multiplex ring-formed mass connected with the small intestine.,,,,,
"contrast-enhanced coronal computed tomography image of the chest demonstrates a large, hypervascular mediastinal mass (m), abutting the aortic arch (aa) and main pulmonary artery (p). also shown are large, enhancing intra-tumoral vessels (arrows), peripheral enhancement, and central low-density, suggesting necrosis. no mediastinal or hilar lymphadenopathy is present.",,,,,,,,,
,,,,,,,,,"enhanced computed tomography shows low-density area along the right portal branch, and no definite metastatic mass in the liver parenchyma."
,,,,"abdominal computed tomography scan. this is a representative slice from the ct performed during the initial patient hospitalization with the following details. procedure date: february 23, 2013. findings: there is a heterogeneous hypoattenuating mass in the liver (8.4 cm × 5 cm × 5.2 cm). impression: benign versus malignant neoplasm versus hamartoma versus adenoma, less likely hepatocellular carcinoma, no cirrhosis.",,,,,
,,,post first surgery computed tomography brain,,,,,,
,,,cerebral computed tomography (ct) scan showing a spontaneous hyperdensity lesion of the midbrain consistent with a midbrain hematoma.,,,,,,
,,,,,,,,,computed tomography revealed a huge gas-forming liver abscess (arrows).
,,,,,,axial intravenous contrast-enhanced computed tomography image shows an intensely enhancing well-defined mass (arrow) between the left superior pulmonary vein and the pulmonary artery and abutting the left anterior descending artery,,,
,,,,postoperative abdominal computed tomography angiography demonstrated a focal contour abnormality of the right posterior lateral wall of the abdominal aorta at the level of the celiac trunk concerning for posttraumatic pseudoaneurysm (arrow).,,,,,
,"high-resolution computed tomography scans on prone position of a worker with no history of smoking, who had been employed at an indium tin oxide target production facility for 7 years (sintering room for 4 years and indium oxide powder room for 3 years). the image shows subpleural interlobular interstitial thickening in both lower lung fields (arrows). the patient had no history of respiratory diseases. results of health examinations were as follows: serum indium, 50 μg/l; kl-6, 1769 u/ml; fvc, 86% predicted; fev1/fvc, 109.6% predicted.",,,,,,,,
,,,,,,,"a 10-year-old boy with a confirmed diagnosis of h1n1. computed tomography images performed 4 days after the onset of the symptoms demonstrate moderate peribronchovascular and subpleural consolidation predominant in the lower lobes. the boy developed respiratory failure and received mechanical ventilation for 19 days. the duration of viral shedding in this patient was 23 days, and he died 30 days after the onset of clinical symptoms.",,
chest computed tomography showing diffuse reticular interstitial infiltrates with ground-glass pattern of nonspecific interstitial pneumonia in a rheumatoid arthritis patient with pneumocystis jirovecii pneumonia.,,,,,,,,,
,axial 18f-fluorodeoxyglucose positron emission tomography/computed tomography fused image showing increased fluorodeoxyglucose uptake in the lung tumor,,,,,,,,
,,,,coronary view of the abdominal computed tomography scan shows an ovoid fatty mass with hyperattenuated ring. there is a central high attenuated line (arrow) within the inflamed epiploic appendix. this lesion is believed to be due to thrombosis of the vessel.,,,,,
,,,brain computed tomography performed during the first recovery.,,,,,,
,,,,18f-fluorodeoxyglucose positron emission/computed tomography. 18f-fluorodeoxyglucose positron emission/computed tomography demonstrated increased 18f-fluorodeoxyglucose uptake (maximum standardized uptake value: 3.1) in the small nodule in the abdominal wall.,,,,,
prior chest computed tomography scan with contrast showing an area concerning for abscess in the right upper lobe.,,,,,,,,,
"chest computed tomography scan (august 15th, 2011) of case 1 showed the large mass in the upper right lung lobe had decreased with fewer cavities and pneumonia had improved.",,,,,,,,,
,,,,abdominal computed tomography image. note the huge hematoma (asterisk) in the abdominal cavity.,,,,,
chest computed tomography. peribronchovascular ground-glass opacities and bilateral subpleural reticular opacities.,,,,,,,,,
,"pre-treatment computed tomography (ct) image with intravenous (iv) contrast, demonstrating bilateral pleural effusions (white arrows) and moderate-sized pericardial effusion (black arrows), prior to thoracentesis, pericardiocentesis, or chemotherapy. black asterisk = atelectatic lung.",,,,,,,,
,,,,,,computed tomography thorax reveals marked enlargement of pulmonary artery (arrow).,,,
,,,,,type b nasopalatine canal (two separate canals) as evaluated in a coronal cone beam computed tomography image,,,,
,,,,,,,"non-contrast computed tomography head. non-contrast computed tomography head taken on admission showing scattered areas of hypodensity involving grey and white matter in the right basal ganglia, bilateral frontal lobes (see arrow) and bilateral parietal lobes",,
contrast enhanced axial computed tomography image of the chest (lung window) showed tow peripherally located left pulmonary deposits (arrows).,,,,,,,,,
pre-operative chest computed tomography of the patient from case 2 showed a myxoma in the left atrium. m: cardiac myxoma.,,,,,,,,,
"chest computed tomography scan revealed a filling defect in the apical posterior branch of the left pulmonary artery (arrow), indicating pulmonary thromboembolism",,,,,,,,,
,,,,,"coronal ct scan showing acute stress fracture, which may narrow the neural foramen if it heals with bony hypertrophy.abbreviation: ct, computed tomography.",,,,
,,,,,,,,,computed tomography scan identifying a grade iii-iv splenic laceration and a grade i liver laceration in a 14-year-old male who struck his abdomen against his bmx bike handle bars.
,,,,,,,,,computed tomography on admission showed atrophic liver and mild splenomegaly. there was moderate ascites but no evidence of cirrhosis.
,,,computed tomography of the skull. the tumor appears as a lytic area with sharp borders. both of brain hemispheres seem intact.,,,,,,
,,,,computed tomography scan shows a right sided intrabdominal rim-enhancing cystic mass.,,,,,
,,,,,,axial view of computed tomography pulmonary angiography in a patient in the likely risk group showing filling defect in both main pulmonary artery branches compatible with bilateral pulmonary thromboembolism.,,,
,,,,,coronal section of computed tomography angiography showing the pseudoaneurysm from right hepatic artery.,,,,
,computed tomography demonstrates a lesion at left lower lung.,,,,,,,,
,,,,,preoperative coronal computed tomography scan showing the tumor in the right nasal cavity with contrast enhancement.,,,,
,,,,"abdominal computed tomography of a peritoneal tuberculosis, with peritoneal nodular thickening (white arrow) and ascites",,,,,
"computed tomography-chest: bilateral consolidation (right more than left), secondary infection, pleural thickening",,,,,,,,,
,,,,,,nine-year old girl presented with left-side orbital trauma and third cranial nerve palsy with ptosis later diagnosed with left-side dual ophthalmic arteries with external carotid artery (eca) and internal carotid artery (ica) origins. computed tomography scan shows periorbital soft tissue swelling (black arrow) with retrobulbar stranding in keeping with a small amount of hemorrhage (white arrow).,,,
,,,,,,,,the tumor of the left mandibular angle in ct scan. irregular loss in the bone structure sized 30 × 37 × 20 mm. ct = computed tomography.,
,,,,,coronal view computed tomography of wrist demonstrating trapezoid fracture.,,,,
,,,,computed tomography image of abdominal wall lesion. sections were taken at 5 mm intervals. image 31 of series #2 shows greatest dimensions of lesion as well as its homogenous nature,,,,,
chest computed tomography (axial view) with cystic lesion in the pericardium (arrows).,,,,,,,,,
,,,,,,,"computed tomography image of the orbit demonstrates the superiorly subluxed globe with a superotemporal ahmed valve (arrow).notes: both globes are normal in size and shape. the orbits are shallow with no evidence of intraorbital tumor, rectus muscle enlargement, or inflammatory process. the right globe appears to be 2 mm proptotic compared to the left.",,
"axial ct image of the chest using soft tissue window levels. multiple calcified bilateral lung nodules (white arrows). there are also noncalcified, pleural masses in the left cardiophrenic angle. incidental note of small pericardial and pleural effusions.ct- computed tomography",,,,,,,,,
"chest computed tomography showing a 36 × 21 × 30 mm superior mediastinal mass located between the left common carotid and subclavian arteries, trachea, and spine.",,,,,,,,,
computed tomography of the chest in case 9 before thrombolysis. the major pulmonary artery is enlarged. the distal right pulmonary artery is partly occluded; the left upper lobular artery is nearly totally occluded; and there is a thrombus floating in the lumen of the descending aorta. the arrows point to the thrombus.,,,,,,,,,
,,,,,,,computed tomography scan showed an irregular abnormal soft tissue mass located in the left upper lobe.,,
"computed tomography of the chest showing air in the mediastinum, ie pneumomediastinum.",,,,,,,,,
chest computed tomography scan showing diffuse tiny nodules and the swelling of bronchovascular bundles,,,,,,,,,
,,,,,,,,,"computed tomography of abdomen, showing absence of fibrotic liver, which was consistent with the results of the liver biopsy."
,,,,abdominal computed tomography scan revealing lower intestinal obstruction.,,,,,
,,,,,"axial section of computed tomography scan showing bilateral proptosis, fused lambdoid, and coronal sutures",,,,
,,,,,coronal computed tomography showing hepatic cyst communication with the common bile duct.,,,,
axial computed tomography scan of the chest shows massive right chylothorax with mediastinal shift,,,,,,,,,
,,,,,,,contrast-enhanced computed tomography sagittal scan reconstruction showing subcapsular haematoma in the right liver lobe (arrow).,,
,,,,,,,,3d computed tomography scan showing tumor mass on left side of mandible.,
,,,,non-enhancing abdominal computed tomography image showing a hypodense round mass in the spinal canal.,,,,,
,,,,,"coronal ct; extensive cholesteatoma eroding part of skull base bone and of the first cervical vertebra (arrow). ct, computed tomography; pbc, petrous bone cholesteatoma.",,,,
"axial chest computed tomography scan at subcarinal level demonstrates a 4.5 mm ground-glass opacity nodule in left upper lobe of lung (arrow) and a 16 mm part-solid ground-glass nodule in left lower lobe of lung (arrowhead). they are proved to be a pulmonary meningioma in left upper lobe of lung and granulomatous inflammation in left lower lobe of lung in histologic diagnosis, respectively.",,,,,,,,,
,,,,,,,,"computed tomography showed giant tumor from the pyriform sinus into the thoracic esophagus intraluminal of the esophagus. the tumor density was mostly low with heterogeneous density in spots (arrow head, t tumor, h heart, ao aorta)",
,"thoracic computed tomography. bilateral and diffuse ground-glass attenuation opacities predominant in the lower lung lobes and thin-walled cystic lesions diffusely distributed in both lungs, as identified using thoracic computed tomography.",,,,,,,,
,,,,,curved reformatted contrast-enhanced computed tomography coronal image showing splenogonadal fusion with inferior testicle (white asterix) and superior splenunclus (black asterix). inferior testicular component is seen draining by testicular vein (white open arrows) into the left retroaortic vein (white solid arrows),,,,
,,,,,computed tomography scan of the paranasal sinus and neck (axial section) showing coronal and sagittal diameter of the trachea 30 mm below the glottis,,,,
,,,,,,,,ileal gastrointestinal stromal tumor in a 45-year-old male — axial contrast-enhanced computed tomography image showing heterogeneously enhancing exophytic mass lesion (black arrowhead) arising from ileal loop causing mild aneurysmal dilatation (white arrowhead),
,,,,,,,,computed tomography scan of 53-year-old woman with mucinous carcinoma in cecum and proximal ascending colon.notes: computed tomography scan shows concentric uneven bowel-wall thickening along with evidence of pericolic fat infiltration (arrow). hypoattenuated area is greater than two thirds of tumor (asterisk).,
,,,,,,,postnatal-enhanced computed tomography showing an anomalous arterial supply from the descending aorta to the left lower lobe.,,
,,,,,coronal section of the computed tomography abdomen and pelvis showing the distended bladder (solid arrow) with diverticulum (open arrow). double arrow points to the diverticular mouth,,,,
chest computed tomography on 21 january 2009. the mass at s10 of the left lung is not detected,,,,,,,,,
chest computed tomography image after six months shows right lung expansion and no residual space in the thoracic cavity,,,,,,,,,
,,,,abdominal computed tomography shows an 8×7.3 cm exophytic gastric mass in the posterior wall of the gastric body containing a large area of cavitation and variable hepatic metastasis.,,,,,
,,,,,,,,,liver metastases (computed tomography)
computed tomography of the chest (i). ct of the chest: distinct mediastinal (large arrow) and perihilar lymphadenopathy (small arrow),,,,,,,,,
computed tomography chest showing bilateral bronchiectasis with variable areas of consolidation and fibrosis,,,,,,,,,
,,,,,,,,,computed tomography scan (abdomen) (after four weeks of antibiotics) showed complete resolving of the previously seen small collection/cyst anterior to the liver dome since the previous exam. no evidence of liver mass or collection. no evidence of perihepatic fluid or collection.
computed tomography scan of the chest in axial section showing metastatic lesions.,,,,,,,,,
computed tomography (ct) of the chest without contrast showing multifocal cavitary lesions seen throughout the lungs with largest cavitary lesion (read arrow) seen in the right middle lobe,,,,,,,,,
,,,,thoracoabdominal computed tomography revealed a peri-graft abscess with an esophago-paraprosthetic fistula (arrow).,,,,,
sagittal computed tomography scan of the chest showing local relapse in the lower inner quadrant of the breast after breast conserving surgery and adjuvant treatment.,,,,,,,,,
,,,,computed tomographic findings: abdominal and pelvic computed tomography scan showing free air bubbles near the small intestine,,,,,
,,,,,,,"computed tomography scan showing normal intact globe with no intraocular foreign body in right eye. however, it shows presence of opacified lens",,
,"coronal 18f-fluorodeoxyglucose positron emission tomography/computed tomography fused image showing hypermetabolic foci in the right lung, mediastinal lymph node, adrenal glands and the left thigh",,,,,,,,
a computed tomography scan of the chest demonstrates a large mediastinal mass (white arrow) consisting of a mixture of fat and soft tissue contents and suggesting thymolipoma.,,,,,,,,,
"computed tomography scan of chest showing left upper lobe lung lesion with cavitations, along with diffuse bilateral ground glass opacification.notes: the arrow indicate the cavitary lesion in the lung. the inset shows that the cavitary lesion in lung is on that level on coronal view.",,,,,,,,,
chest computed tomography: right-sided hemothorax,,,,,,,,,
chest computed tomography (ct) scan obtained on presentation to our institute.notes: subcutaneous fat has decreased because of weight loss. the mediastinal fat observed on ct performed 5 months ago has been replaced by gas density (white arrow).,,,,,,,,,
,,,,,,computed tomography coronary angiography showing a left anterior descending (lad) artery stenosis,,,
,,,,,,"computed tomography of the patient number 18, showing dilatation of the artery with right iliac with type ib endoleak after treatment with bifurcated stent-graft with a bell-bottom extension.",,,
,,,,computed tomography (ct) of the tumors. abdominal ct scan showing a tumor in the left pelvis (arrowhead) and a soft tissue mass along the former nephrostomy tract (arrow).,,,,,
,,,postoperative cerebral computed tomography 26 h after the trauma showing an increase in the size of the hemorrhage of the brain edema.,,,,,,
,,,,,,,,,"preoperative computed tomography scan of the abdomen shows a 24 cm mass in the left upper quadrant between the spleen and liver, and a single metastatic lesion (1 cm) in the spleen (arrows)"
,,,,,,computed tomography scan of the thorax demonstrating an acute thrombus within the right lower lobe pulmonary artery in keeping with a pulmonary embolus and a large right pleural effusion.,,,
,,,,the findings of computed tomography (ct) at the onset of abdominal pain. plain ct images revealed proximal jejunal wall thickening (arrows).,,,,,
,,,,"abdominal computed tomography image of an 86‐year‐old man. image shows disrupted gastric mucosa in posterior wall (arrow), extraluminal air, and free fluid",,,,,
,,,,abdominal computed tomography (ct) scan (axial) with intravenous contrast demonstrating an important hemoperitoneum with densities around the spleen and the right lobe of the liver.,,,,,
,,,,,multidetector computed tomography (mdct) multiplanar reconstruction (mpr) image on oblique coronal plane demonstrates an intrapericardial grossly round mass (arrows) between the left atrium and the left ventricle. the mass impresses the posterior wall of the left ventricle and the atrium. in this early arterial phase the center of the mass is not yet opacified. pericardial effusion coexists and surrounds the mass.,,,,
,,,plain computed tomography of brain showing subarachnoid hemorrhage in left perisylvian region,,,,,,
"computed tomography scan of the chest, abdomen, and pelvis revealed too numerous to count bilateral pulmonary nodules with a large pleural effusion, and near complete collapse of the right middle and right lower lobes.",,,,,,,,,
,,,,abdominal computed tomography reveal the disappearance of the fecaloma.,,,,,
chest computed tomography showing a large mediastinal fluid collection surrounded by a thick capsule that is compressing the trachea and esophagus,,,,,,,,,
"the chest computed tomography image of the first patient on the 1st day, revealing multiple contusion areas and pneumothorax as well as two separate traumatic pulmonary pseudocyst.",,,,,,,,,
,"representative high-resolution computed tomography scan in a patient with interstitial lung disease and anti-neutrophil cytoplasmic antibody (anca)-associated vasculitis. this patient was initially diagnosed with idiopathic pulmonary fibrosis, and myeloperoxidase-anca-positive granulomatosis with polyangiitis developed later.",,,,,,,,
,,,,abdominal/pelvic computed tomography with contrast showing diffuse dilatation and edema of the small bowel consistent with but not specific for aie.,,,,,
,,,brain computed tomography: there is a 5×5 cm hypo attenuated mass in right parieto-temporal region with surrounding cerebral edema and associated right to left midline shift. there is no acute hemorrhage or calcifications in the lesion.,,,,,,
,,,contrast enhanced axial computed tomography image of brain showed right cerebellar lesion (arrow) of thick irregular peripheral enhancement and central necrosis with surrounding edema.,,,,,,
,,,,,,"contrast-enhanced axial computed tomography. the image demonstrates a case of hepatosplenic trunk with left gastic artery relocation, so in this case it emerges from the left hepatic artery.",,,
,,,,"abdominal ct at 1 month after rt: significant tumor shrinkage. a significant regression of the irradiated liver tumor was observed (as the long white arrow; residual size, 4.9 × 4.2 × 3.1 cm; estimated volume, 68.7 c.c.). partial response (pr) was noticed (a volume reduction rate of 88.7% when compared with pre-rt bulky tumor [608.5 c.c.]). multiple liver cysts are also noted (as the short white arrows). note that mild regeneration of the normal liver is evident. also note that intravenous contrast can be prescribed while ct imaging due to an improved creatinine level of 1.4 mg/dl. an afp level was 48 u/l at this timing (12/2012). afp = alpha-fetoprotein, ct = computed tomography, pr = partial response, rt = radiotherapy.",,,,,
"chest computed tomography scan on the same day as fig. 4 (day 37) showing a well-defined cavitating mass within the right upper lobe, with the air-crescent sign. nodules of varying sizes are noted around the lesion and in the left upper lobe.",,,,,,,,,
"chest ct with contrast. azygos-hemiazygos (red arrows) and the hepatic portion of the ivc (yellow arrow).abbreviations: ct, computed tomography; ivc, inferior vena cava.",,,,,,,,,
,,,,"a coronal section of abdominal computed tomography showed that a foreign body in the rectum protruded into the bladder through a huge rectovesical fistula. irregular thickening of the wall of the fistula (white arrow) was pathologically diagnosed as being due to inflammation. r: rectum, b: bladder.",,,,,
,,,,,,,,computed tomography scan revealed a left kidney tumor mass.,
,,,,,computed tomography imaging of the tumor. a well-demarcated tumor is located in the left submandibular region (coronal plane),,,,
,,,the first brain computed tomography scan without contrast shows multiple brain abscesses with variable density and surrounding extensive hypodensity.,,,,,,
chest computed tomography displayed a nodule with surrounding ground-glass opacity in the right upper lobe (arrow).,,,,,,,,,
,,,,,,computed tomography angiography showed arterial tortuosity at common carotid artery.,,,
,,,,,,preoperative axial computed tomography image of the abdomen showing a pancreaticoduodenal artery pseudoaneurysm (arrow).,,,
,,,,"abdominal coronal and sagittal ct images show multiple nodules in pelvic cavity, with central calcification and peripheral ring-like equidensite (arrow). sagittal ct image shows dilated and tortuous intestine. ct = computed tomography.",,,,,
,,,,,,,,,axial view of computed tomography scan abdomen showing an air-fluid level containing cavity in between liver and stomach
chest computed tomography showing a large fluid-filled structure in the retrocardiac space. mild left pleural effusion and atelectasis are indicated.,,,,,,,,,
,computed tomography (ct) image of the thorax of a brachycephalic dog at the level of the middle section of the ninth rib. the internal diameter of the right caudal bronchial lumen and diameter of the corresponding pulmonary artery in the cross-section were measured to determine the ba ratio. an arrow indicates the measured bronchus in the right caudal lung lobe while an arrowhead indicates the corresponding pulmonary artery.,,,,,,,,
,,,,preoperative abdominal computed tomography (ct) scan demonstrating three ruptured muscle layers on the right side,,,,,
"measurement of depth and width of post-transthoracic needle aspiration-biopsy computed tomography pneumothorax. the length of pneumothorax was defined as the linear distance of both ends of pneumothorax, and the width of pneumothorax was defined as the maximal perpendicular depth of pneumothorax from chest wall. in the figure, the width is 8.9 cm and the depth is 0.8 cm.",,,,,,,,,
,,,,,,"contrast-enhanced high-resolution computed tomography of the thorax (mediastinal window) showing the presence of bilateral upper lobes ground glass attenuation with diffuse calcification along the interlobular and intralobular septae, and in the mediastinal pleura (arrow). the pulmonary artery is enlarged. the “black pleura” sign is seen on the right side (arrow)",,,
,,,,,measurement of medial joint space and lateral joint space (coronal cone beam computed tomography view),,,,
,a computed tomography scan showing a large mass in the upper lobe of the right lung.,,,,,,,,
chest computed tomography – extensive bilateral groundglass opacities in the lung fields and interstitial fibrosis,,,,,,,,,
"chest computed tomography (ct) post intubation in the micu shows interstitial pattern with traction bronchiectasis, opacities and a diffuse ground-glass pattern, bleb formation in marginal areas, airspace consolidation and fibrosis in the bilateral lung fields. the transverse views of chest ct.",,,,,,,,,
,,,,computed tomography showing the abdominal wall recurrence,,,,,
,,,normal computed tomography scan brain,,,,,,
,,,,"postoperative abdominal computed tomography angiography image shows irregular lobulated contrast media collection (arrows), 2.4 cm×1.4 cm at the right side of the abdominal aorta, indicating pseudoaneurysm at the l3–4 level.",,,,,
"chest computed tomography scan (july 15th, 2011) of case 1 showed the sheet shadow in the upper right lung had enlarged and contained cavitation.",,,,,,,,,
"multi-detector ct.note: chest tube insertion because of pneumothorax following valve placement in the left upper lobe.abbreviation: ct, computed tomography.",,,,,,,,,
,,,,,computed tomography angiography of abdomen (coronal view): retroperitoneal hematoma (marked by white arrow) of left iliopsoas muscle sized 12 cm × 10 cm with no evidence of active bleeding. the retroperitoneal hematoma compressed iliac venous system without evidence of venous thrombosis.,,,,
,,,,,,,computed tomography angiography demonstrating thrombi in lower lobe segmental arteries bilaterally,,
,,,,,,,,computed tomography scan shows tumor in segments ii and iii (black arrow) and extension into the cbd (white arrow).,
,,,,,,computed tomography with intravenous contrast: transection of the renal artery without contrast in the left kidney.,,,
chest computed tomography showing diffuse ground-glass opacities.,,,,,,,,,
"computed tomography chest showing lung opacity, pleural effusion and lymph nodes.",,,,,,,,,
follow-up chest computed tomography after 8 days. increased mediastinal infiltration and a low-density lesion with an air bubble are visible.,,,,,,,,,
,,,,,,,,,computed tomography scan of patient showing portal vein thrombosis and infarction of liver
"transverse view of upper lung field with tumor located in the right upper lung apex. chest computed tomography (ct) done post intubation shows ground-glass opacities, blebs confined to the right upper lung apex, and diffuse ground-glass attenuation, blebs in the marginal areas, airspace consolidation, and fibrosis in the bilateral upper and lower lung fields.",,,,,,,,,
,,,,"abdominal computed tomography scan (horizontal image) showed gas and fluid collection from the subcutaneous layer to the retroperitoneal cavity, with inflammation extending into the adjacent soft tissue near the loin",,,,,
chest computed tomography scan showing a new abscess‐like lesion of the right fifth rib.,,,,,,,,,
"chest computed tomography on admission. the thyroid gland is enlarged (white arrow), suggesting abnormal thyroid function.",,,,,,,,,
,,,,,,"positron emission tomography computed tomography scan shows label uptake by a mass located near the left iliac artery, with cortical invasion of the sacrum.",,,
,,,,,"venous phase coronal computed tomography showing left ureter after having left the inguino-scrotal hernia as it enters the bladder. note, how the ureter is now of normal calibre (arrow)",,,,
,,,"the computed tomography (ct) scan of brain and orbit showing undivided cerebrum with single fused ventricle, closely set globes with microphthalmos in the left eye and absent nasal structures",,,,,,
"computed tomography scan of case 1 obtained in 2010. computed tomography scan obtained in 2010 showing a huge soft-tissue mass with a clear periphery in the left side of the chest, measuring 8.2 cm × 8.6 cm.",,,,,,,,,
,,,,,,,,,contrast enhanced portal venous phase computed tomography demonstrating 2cm subcapsular lesion in segment 7 of the liver. the lesion displays typical low attenuation of a soft tissue mass characteristic of a colorectal liver metastasis.
,,,,abdominal computed tomography scan revealed dilation of the duodenum and small intestine in the left upper quadrant.,,,,,
,,,,,coronal bone computed tomography with normal findings.,,,,
,,,,,"coronal reformats of computed tomography examination, obtained after direct injection of contrast material into the pubic symphysis (arrow), shows continuity of the arthritis with the collection prolonging to the labia (open arrow).",,,,
chest computed tomography-scan objectivising an intrahepatic drain (arrow) with the liver in intrathoracic position (observation 2) (fronf left),,,,,,,,,
,,,,,,,,"axial computed tomography scan showing the expansion of the tumor mass to the maxillary sinus, as well as the bone perforation",
"chest computed tomography demonstrated diffuse ill-defined ground-glass opacities, tiny nodular and centrilobular opacity, and interstitial thickening in the bilateral upper and lower lung",,,,,,,,,
,,,,coronal section of abdominal computed tomography scan with contrast shows presence of pneumobilia (arrow).,,,,,
"computed tomography chest image with contrast of a 19-year-old female with relapsed neuroblastoma, staphylococcus aureus bacteremia, and pulmonary nodules (arrows) that were initially concerning for invasive fungal disease.notes: the patient was initially started on amphotericin and then underwent biopsy of the lesions. both culture and histopathology revealed s. aureus; amphotericin was discontinued without the development of other evidence of fungal disease.",,,,,,,,,
,computed tomography scan shows patchy ground-glass opacities throughout both lungs with lower-lobe predominance.,,,,,,,,
,,,,computed tomography abdominal scan (axial section) showed the left colonic obstruction.,,,,,
,,,brain computed tomography of the second patient performed in may 2007 shows hypodense lesion over left pons.,,,,,,
,"18f-fluorodeoxyglucose whole body positron emission tomography/computed tomography maximal intensity projection image showing widespread multiple skeletal lesions, tracer avid hypodense hepatic lesions and tracer avid few ground glass opacities/nodules in the lungs",,,,,,,,
