mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,,,"pelvic mri with contrast, coronal view showing ill-defined left side lesion distorting the left testis that showed intense heterogeneous enhancement measuring 8.5 × 6 × 4 cm and thickened left spermatic cord.",,,,
,,,"preoperative mri of the brain showed a left temporal lesion, hypointense on t1, heterointense on t2, with heterogenous enhancement",,,,,,
,,,,,coronal section mri scan showing tumour extending from pelvis into left buttock,,,,
,,,,,coronal t-2 weighted mri image of a right elbow showing an injury of the insertion of the extensor muscles at the lateral epicondyle.,,,,
,,,mri brain diffusion-weighted sequences “demonstrate restricted diffusion in the posterior parietal lobes and occipital lobes bilaterally. there may be restricted diffusion in the left cerebellar hemisphere. findings consistent with infarcts” per pediatric radiologist. image reviewed by a pediatric neurologist who agreed with the findings.,,,,,,
,,,,,overestimation by mri. coronal contrast enhanced mri shows an enhancing lower gingivobuccal scc (*) and suspected perineural spread along inferior alveolar nerve (arrow shows enhancement). postsegmental mandibulectomy histopathology revealed nerve to be free of disease,,,,
,,,"enhanced mri scan shows tuberculous, ring-shaped, signal-intensified lesions in bilateral frontal and parietal lobes, centrum semiovale, peri-lateral ventricular region, basal ganglia regions, thalamus, brainstem and cerebellum.",,,,,,
,,,,,,,"mri of the abdomen showing multiple abscesses in the liver, the largest (7.5×7.2×7.0 cm) of which was in the right lobe.",,
,,,,contrast abdominal mri/mrcp showed enlargement of the head and uncinate process portions of the pancreas measuring 5.0 x 4.1 cm (arrow) and a distended gallbladder (arrowhead).,,,,,
,,,,,mri of a patient with autoimmune pancreatitis in coronal orientation showing a tumor in the pancreatic head (focal type; white arrows).,,,,
,,,,,,"mri imaging of the left ventricle (lv), ascending aorta (aao). the left subclavian artery (lsa) is dilated and the descending aorta (dao) is hypoplastic. the coarctation imposes as atresia. there are numerous collaterals. rv: right ventricle",,,
,,,coronal mri scans of brain showing right parasellar mass,,,,,,
,,,,"case 1: 3-month-old male child presenting with symptoms of pallor, abdominal distension, petechial rashes, and recurrent respiratory infections later diagnosed with congenital leukemia. magnetic resonance imaging (mri) of the pelvis in coronal plane using short tau inversion recovery (stir) sequence, shows increased marrow signal intensities in both iliac bones (r × l) (arrows).",,,,,
,,,"mri of brain after ventriculoperitoneal shunt placement; single monoventricle with hydrocephalus, partially fused frontal interhemispheric fissure consistent with semilobar hpe.",,,,,,
,,,axial flair mri brain showing left temporal arachnoid cyst,,,,,,
,,,mri brain on presentation.,,,,,,
,,,,,same patient as figs 13 and 14. coronal t2w mri demonstrating the slightly hypointense olfactory neuroblastoma extending both intraorbitally and intracranially with extensive edema in the right frontal lobe.,,,,
,,,mri of the brain (axial section). mass in the fourth ventricle with minimal paraventricular spread.,,,,,,
,,,,,"coronal mri showing multiple liver abscesses, with that in the caudate lobe causing extrinsic compression of the inferior vena cava.",,,,
,,,brain mri: sagittal t1‐weighted sequence showing abnormal posterior fossa with a short squama occipitalis and a short and vertical clivus. cerebellar tonsils protrude below the foramen magnum.,,,,,,
,,,saggital mri brain with a glioblastoma multiforme in a male farm worker,,,,,,
,,,normal mri brain with no temporal or leptomeningeal enhancement (t2 flair sequence).,,,,,,
,,,"non contrast sagittal t1 image. lady in her 30's with new onset headache, reaching maximum within several hours and with almost complete relief on lying flat. symptoms persisted for several weeks before mri imaging performed. shows pituitary engorgement (short arrow), sagging of brain stem with loss of normal pontine convexity (long arrow), and cerebellar tonsillar descent (medium arrow).",,,,,,
,,,,abdominal mri detected a hepatic metastasis measuring 10 mm in the right lobe of the liver (segment 6) (arrow).,,,,,
,,,a contrast-enhanced mri study of the brain shows a minimal decrease in the size or extent of the underlying non-enhancing tumor involving the right anterior insular region and possible postopeative or post biopsy tissue defects.,,,,,,
,,,,"abdominal mri showing an abnormal nodular signal, oval, well limited, measuring 16 mm, raising to the arterial phase in respect to the pancreatic duct and the splenic vein",,,,,
,,,mri on hospital day 43. the brain metastasis had increased to 20 mm in diameter and the surrounding cerebral edema had become worse.,,,,,,
,,,,,coronal view mri showing multiple cysts with hyperintense t2 weighed images,,,,
,,,,,mri coronal image demonstrating a pedunculated 3.1 × 1.7 × 1.2 cm nonvascular mass emanating from the left nasopharynx.,,,,
"postmortem axial mri of the chest of an 8-month-old boy who died of unknown causes. unusually, there was apparent sedimentation/layering of blood in the pericardial sac (a) as well as in the left pleural cavity (b), which was attributed to traumatic pericardiocentesis during resuscitation. there was no evidence of trauma",,,,,,,,,
,,,brain mri shows abnormal enhancement of the perineural sheath of the left optic nerve.,,,,,,
,,,,,,,postcontrast axial mri showing a large intra-axial space occupying lesion in the left temporal lobe with peripheral enhancement and peritumoral edema,,
,,,,,mri examination. a solid mass (white arrow) at the left of the pelvis is detected in a t1 weighted coronal mr image. the mass is slightly hyperintense to adjacent muscles. the surrounding fat tissue is heterogeneous and the lymph node (short arrow) is seen adjacent to the mass. the rectum (star) is displaced to the right.,,,,
,,,"mri of the brain shows acute and subacute infarcts in the frontal, parietal and occipital lobes.",,,,,,
,,,,,"coronal post-contrast t1wi in a 58 year old male with double vision for two years. when evaluating the mri without knowledge of the clinical history, two of the readers independently interpreted the left optic nerve as enhancing (arrow). after provision of the clinical history, all three readers (and the clinical radiologist) independently determined that there was no abnormal optic nerve enhancement.",,,,
,,,,,coronal short-tau inversion recovery magnetic resonance imaging (mri) of orbits shows lesion in lateral part of right upper lid with hyperintense signal (white arrow),,,,
,,,,,mri image after administration of gadolinium-diethylenetriaminepentacetate (gd-dtpa) (coronal) showing a 53 × 40 mm diameter soft tissue mass in the posterior compartment of the right arm.,,,,
,,,brain mri of the patient. brain mri shows no specific abnormalities except metastatic lesions in the meninges and bones.,,,,,,
,,,,,,,,postoperative (24 hr) follow-up t1-wi parasagittal mri demonstrates complete resection of tumor from the infratemporal region.,
,,,mri brain with contrast showing intra-axial centered abscess (arrow) in the right thalamic region with associated right to left midline shift and downward herniation.,,,,,,
,,,,,a representative mri t1 image without gadolinium showing a coronal cut of the base of the penis with both corpora cavernosa and the corpus spongiosum having similar signal intensity.,,,,
,,,,,coronal oblique fat-suppressed post contrast mri left shoulder (tr/te 5670/75).,,,,
,,,,,"whole-body mri, coronal t2 tirm image. bone marrow edema within the distal femoral epiphyses; no other pathologies are detected",,,,
,,,,,"coronal magnetic resonance imaging (mri) scan showing two masses seen at bilateral pelvic sidewalls demonstrating enhancement patterns suggestive of possible uterine tissue (arrows). the right and left masses measured 3.2 × 1.9 cm and 2.9 × 1.6 cm in the maximum dimensions, respectively.",,,,
"t2 weighted mri of the chest showing enhancing area of the necrotic tissue over the right sixth rib, with underlying phlegmonous changes.",,,,,,,,,
,,,brain mri shows a frontal lobe mass.,,,,,,
,,,,,coronal t2w mri shows multiloculated cystic lesion in left adnexa with t2 shading suggestive of blood products with endometriotic cysts,,,,
,,,,,"coronal cut on mri showing a 7.5 × 7 × 6.5 cm aneurysm in the distal portion of the splenic artery with an intramural thrombus, abutting the splenic hilum.",,,,
,,,brain mri with gadolinium proved the presence of central pontine lesions without significant mass effect.,,,,,,
,,,brain mri showing hypersignal in the inner ear compatible with hemorrhagic labyrinthitis.,,,,,,
,,,,,,,,,"mri abdomenon mri abdomen, retroperitoneal and para-aortic lymph nodes appeared enlarged up to 1.3 centimeters. a 1.2-cm para-aortic lymph node was also seen just inferior to the duodenum. no mesenteric lymphadenopathy was present and there was no focal lesion in the pancreas or liver."
,,,,,"17-month postoperative radiograph. coronal stir mri demonstrates postoperative changes and the medial aspect of the elbow. there are intact low signal intensity fibers extending from the medial epicondyle to the sublime tubercle of the proximal ulna, without retraction or deformity at the reconstruction site.",,,,
,,,,,": mri of left shoulder, coronal view shows well defined soft tissue mass involving the cutaneous and subcutaneous, with fascia involvement.",,,,
,,,"t1 axial fat saturated, gadolinium enhanced mri scan of the head. this image displays the case of a 48-year-old man with a previous excision of a neurotropic melanoma of the face. approximately one year from wide local excision he presented with facial pain and biopsy proven recurrence of neurotropic melanoma involving the mandibular division of the trigeminal nerve, filling the cavernous sinus and prepontine cistern with obvious brainstem compression.",,,,,,
,,,,,stir coronal mri showing areas of signal abnormality in the right femoral head.,,,,
,,,,,,"sagittal t2 mri image showing abnormal posterior course of the right v2 va segment. mri, magnetic resonance imaging; va, vertebral artery.",,,
,,,,,,left anterior inferior cerebellar artery hyperplasia (angio mri 3d).,,,
,,,,,"aneurysm of the membranous septum. coronal steady-state free precession (ssfp) mri image shows an aneurysm of the membranous septum, formed by adhesion of the septal tricuspid leaflet to a rim of membranous ventricular septal defect (vsd). this results in partial or complete closure of the vsd with or without an aneurysm formation",,,,
,,,mri of the brain with contrast detailing the resection cavity postoperatively.,,,,,,
,,,brain mri - increased signal in flair images in the withe matter territories adjacent to the lateral ventricles bodies and subcortical zone,,,,,,
,,,case 2: mri brain contrast axial section showing displacement of both ica,,,,,,
,,,,,"mri t2w coronal view showing a large lytic lesion involving the right iliac bone with a large soft tissue component, with heterogeneous signal intensity with lobulated margins and hypointense capsule.",,,,
,,,,,,,,"the same tumor as in figure 1 in a transversal section. pancreas and splenic vein are displaced towards ventral. (mri, t1, transversal).",
,,,,,,,,t1 weighted mri of the tumors on sagittal section demonstrating proximity to the dentition and the ethmoid region,
,,,diffusion weighted magnetic resonance imaging (dwi mri) of the brain on day 5. the white arrows highlight the ischemic regions in the left and right occipital lobes.,,,,,,
,,,"fetal mri brain at 26 weeks shows volume loss in the left parietal region with polymicrogyria, suggestive of a previous ischaemic insult.",,,,,,
,,,,,,,,axial postoperative mri t1 imaging showing no signs of recurrent tumor,
,,,,,,,mri showing right parotid tumour with extension into the deep lobe.,,
,,,mri image of the brain in an axial view showing the “pre-contrast t2 image”. note the abnormal lesions (circled) in the per ventricular area suggesting white matter pathology.,,,,,,
,,,,,,,mri showing the tri-lobed lesion (arrow) at the second web.,,
,,,,,"34-year-old female with osteoporosis of pregnancy. resolution of abnormal increased signal as seen on prior mri, coronal stir image.",,,,
,,,,,,,,an mri image shows a tumor (arrow) attached to the left inferior nasal turbinate.,
,,,t1wi coronal mri brain of an orchard worker showing multicentric glioma,,,,,,
,,,,,,,,t1 weighted axial mri demonstrating tumor growth in the cerebellopontine angle.,
,,,mri of the brain with contrast (coronal section) showing widespread leptomeningeal enhancement (arrows) raising suspicion for leptomeningeal carcinomatosis.,,,,,,
,,,bg-mnil mri image. t1 sequence brain mri showing hyperintensity signal in the basal ganglia as consequence of manganese deposition,,,,,,
,,,,,coronal section of the gadolinium-enhanced mri scan of the liver and portal system. the image shows a thready portal vein (arrow) with collateral vessels involving both left and right portal veins.,,,,
,,,"brain magnetic resonance imaging (mri), with contrast showing dilatation of intracranial segment of basilar artery, with extrinsic pressure over both sides of medulla",,,,,,
,,,pre-treatment mri. enhanced t1-axial mri of the brain prior to gamma knife radiosurgery showing an enhancing lesion extending into the cerebellopontine angle from the left internal acoustic meatus.,,,,,,
,,,,,"mri, april 24, 2014. coronal cut.",,,,
,,,,,,,"mri findings were: multiple hyper signal lesions in periventricular and subcortical with involvement of subcortical mfibers in parietal lobe, preserving basal gangelia, thalamus and corpus callosum, the possibility of demyelinating disease should be considered",,
,,,"mri of the brain. adc image shows increased diffusion at the left medulla (arrow).abbreviations: adc, apparent diffusion coefficient; mri, magnetic resonance imaging.",,,,,,
,,,"brain mri flair showed atrophy of bilateral hippocampus.abbreviation: flair, fluid-attenuated inversion recovery.",,,,,,
,,,,,,,,"axial t2 contrasted mri, demonstrating delayed hyperenhancement and ""tumor pseudocapsule""",
,,,,,,,,"patient 1, metal artifact reduction sequence (mars) mri at presentation is unremarkable, showing no signs of pseudotumor or synovitis.",
,,,,,mri t2w image (coronal) shows hyperintense nerve sheath tumour involving the right sided l5 nerve root.,,,,
,,,mri brain showing atrophy pituitary glands with preserved infundibulum and hypothalamus,,,,,,
,,,brain magnetic resonance imaging (mri) showing metastasis of the optic nerve associated with a lens dislocation,,,,,,
,,,brain mri of the sister showing pnh.,,,,,,
,,,,,,,,a central mri slice of the tumor that has been considered as a typical gbm case. a specialist has delineated the outer boundary of the tumor (yellow) and the central necrotic area (green) with the use of a specially developed computer tool. a 1mm-thick layer surrounding the necrotic region is assumed to correspond to the resting cells’ region.,
,,,,,,,mri picture showing a cirrhotic liver with a hypointense lesion in the caudate lobe of liver,,
,,,,,,,,mri of sft. mri of a solitary fibrous tumor depicting a relatively well circumscribed soft tissue tumor in the forearm.,
,,,,,"mri of pelvis of a 9-day-old boy with confirmed ia in the left hip. coronal contrast-enhanced t1-w se with fs shows hydrops, perisynovial oedema and reduced contrast enhancement in the cartilage epiphysis (black arrow) in the left hip. the cartilage epiphysis of the right hip shows normal contrast enhancement (white arrow)",,,,
,,,"brain mri showed acute cerebral infarctions in the leftward hippocampus, basal ganglia, and temporal lobe area (arrows)",,,,,,
,,,,,coronal t1w mri sequence shows bone marrow replacement (decreased signal intensity on t1) in the left iliac bone (white arrowhead) and in the right femoral neck (white arrow).,,,,
,mri of the thorax showed ruptured hydatid cyst of the left lung and multiple other intact hydatid cysts of the right lung and liver.,,,,,,,,
,,,"mri brain 3 months post-diagnosis, axial t2 sequence. normalization of imaging with resolution of vasogenic edema and pneumocephalus.",,,,,,
,,,brain cavernomas. coronal cut mri image of the brain cavernomas located ipsilateral and directly beneath the en coup de sabre linear scleroderma lesion of case #1.,,,,,,
,,,mri of the brain: horizontal view at the time of presentation showing thrombosis of the superior sagittal sinus extending into the transverse and sigmoid sinus regions.,,,,,,
,,,,,"mri of placenta increta (third pregnancy).notes: coronal t2 mri of the abdomen showing an irregular-looking posterior placenta, thinning of the myometrium, and discontinuity of the posterior uterine wall. a sigmoid loop (indicated by the arrow) is observed adjacent to the posterior uterine wall, however, it seems not to be invaded by the placenta. no dilation of the proximal or distal intestine was detected.abbreviation: mri, magnetic resonance imaging.",,,,
,,,,,"mri, coronal view.",,,,
,,,,,"coronal mri t2 weighted image showing a solid tumor-like mass at the hepatic hilum (portal cavernoma), (white arrow) in addition to hyposignal (thrombus) at the level of mesentiricoportal confluence (black arrow).",,,,
,,,"saggital image through the tongue, the midline of the brainstem, upper spinal cord and hemispheres obtained with fmri from one normal living individual.activation is shown in the hypoglossal nucleus (xii) and upper segments of the spinal cord when the tongue is pushed against the hard palate. the red oval shows the putative site of the syrinx in geheset's brain. (fmri scan from: komisaruk et al. american journal of neuroradiology (2002)23:609–617 with permission. [8]).",,,,,,
,,,"brain mri of younger daughter – flair coronal view, clearly illustrating patches of increased t2 signal (arrow), as well as polymicrogyria and thickened cerebral cortex (arrow heads) with poorly defined boundaries between gray and white matter.",,,,,,
,,,,,coronal mri section of right tibia.,,,,
,,,mri brain with contrast demonstrating improvement 2 months after initiation of thalidomide.,,,,,,
,,,"brain mri with gadolinium - meningeal enhancement is clearly seen, due to intra-cranial hypotension",,,,,,
,,,,,,,,mri axial view showing the tumor with spontaneous hypersignal rejecting flexors tendons without invasion.,
,,,,,,,,head mri with no alterations suggesting cerebrovascular accident or tumors,
,,,mri brain axial view with diffusion revealed a resolving old ischemic infarct with new areas of punctuate acute ischemia in the posterior supratentorial brain at the level of centrum semiovale.,,,,,,
,,,,,,,,"orbital mri of the patient before treatment for orbital metastasis showing a t2-weighed orbital tumor, hyperintense compared to fat.",
,,,mri brain with gadolinium contrast; fast spin-echo fat-suppressed t2 axial sequence demonstrating minimally hyperintense lesion in the cervical region with maximum transverse dimension of approximately 12×16 mm.,,,,,,
,,,t1 mri of the brain after three weeks of inpatient toxoplasmosis treatment; nine weeks after initial presentation.,,,,,,
,,,"t2 w mri of brain, axial section showing solid cystic lesion, solid component being hypo to isointense",,,,,,
,,,,,coronal view of mri visualizing the ventral rootlets.the number and size of rootlets and the connection with the cord are well visualized.,,,,
,,,mri t2 sequence of our patient shows several lacunar lesions in the sub-cortical brain region,,,,,,
,,,,,mri image of the head in coronal plane shows the circular pathological mass in the left temporal lobe-abscess (the 52-year-old patient),,,,
,,,sagittal flair brain mri shows a lesion cranial to the corpus callosum and the large occipital lesion.,,,,,,
,,,,,coronal mri t2- weighted image reveals a mass in the right parapharyngeal space and defines the superoinferior extent of this high intensity lesion.,,,,
,,,,,"coronal three-dimensional t2 space (sampling perfection with application-optimised contrasts using different flip-angle evolutions) sequence image through normal craniocervical junction [siemens 1.5 tesla mri scanner: slice thickness: 0.8 mm (no interslice gap), tr (time to repetition): 1500 ms, te (time to echo): 129 ms, fov (field of view): 160 mm, number of excitations (nex) averages: 1.6, matrix: 261 × 256, acquisition time: 6.5 ]in) demonstrating normal mri appearances of the transverse ligament (thick arrows) and alar ligaments (thin arrows)",,,,
,,,,,,,,"t2w mri sagittal scan. well bordered tumorous masses of the nasal cavity, heterogeneous, and more hyperintensive structures, destruction of the surrounding skeleton, prominence of the masses into the bases of frontal sinuses, the rest filled with liquid. no intra-cranial growth - lamina interna of the frontal sinus preserved - narrow hem with no signal.",
,,,gadolinium (gd)‐enhanced t1‐weighted magnetic resonance imaging (mri) of the brain showing a thickening of the right cranial dura mater,,,,,,
,,,,,"extensive ameloblastic carcinoma originating from the left maxilla: coronal, contrast-enhanced t1 weighted mri.",,,,
,,,mri of brain- coronal view,,,,,,
,,,mri brain shows extensive t2 signal changes throughout the white matter with diffuse cerebral edema involving both cerebral hemispheres.,,,,,,
,,,mri of brain showing a large left parietal and multiple smaller cerebral infarcts.,,,,,,
,,,brain mri of the patient with juvenile form of mld.,,,,,,
,,,"normal fetal mri anatomy of midline structures and posterior fossa. midline sagittal b-ffe image of normal fetal brain at 34 wg demonstrates the corpus callosum (arrowhead), position of the tentorium cerebelli, normal cerebellar vermis, brainstem with preserved anterior pontine flexure (arrow), and a cisterna magna of less than 10 mm in diameter.",,,,,,
,,,mri brain flair coronal image showing mild cerebral and cerebellar atrophy. no hematoma or infarction can be seen,,,,,,
,,,,,,mri at the time of the tumor relapse. mri showed relapse of the tumor at the hilar porta hepatis. the lymph node metastasis invaded the celiac artery and common hepatic artery.,,,
,,,,,,,,magnetic resonance imaging (mri shows disappearance of the anastomotic tumor after intra-arterial infusion chemotherapy,
,,,brain mri showing multiple subcortical tubers,,,,,,
,,,,,,,,mri showed a 8.0×2.9×6.2 cm tumor in the right scapula.,
,,,,,,mri scan cervicodorsal spine: altered marrow signal intensity in right half of c4 vertebra with paravertebral soft tissue thickening plugging right c3/c4 neural foramen and encasing vertebral artery (arrow),,,
,,,t2w axial mri image of the brain shows bilateral symmetrical hyperintensities (arrows) involving the dentate nuclei and the deep cerebellar white matter. a few hypointense foci (arrowheads) are seen within the hyperintensities,,,,,,
,,,mri coronal t1 sequence without gadolinium showing a process of the sphenoid sinus tumor with isosignal to brain,,,,,,
,,,mri of the brain showing a tiny focus of restricted diffusion in the left posterior lateral midbrain.,,,,,,
,,,,abdominal mri. homogenous cyst of 11 cm on the subphrenic right retroperitoneum.,,,,,
,,,axial images of diffusion-weighted mri of the brain with contrast showing hyperintensity in the temporal and occipital lobes.,,,,,,
,,,a brain magnetic resonance imaging (mri) showing a unique brain abscess (27 × 36 × 43 mm),,,,,,
,,,t1wi axial mri brain of an orchard worker showing multicentric glioma,,,,,,
,,,,abdominal magnetic resonance imaging (mri) with solid mass behind the right psoas major muscle.,,,,,
,,,,,"coronal t2 fat sat magnetic resonance imaging (mri) showing bone involvement in the pubic area with ischium subperiosteal abscess, and enhancement rim of the externus obturator.",,,,
,,,"on brain mri (t1, t2), the space-occupying lesion is evident in the left occipital lobe.",,,,,,
,,,,,,"mri sequence of a severe lesion in the area subtended by the middle cerebral artery. the injury was sustained before pfo closure, most probably due to paradoxical embolism after documented deep venous thrombosis in a 25-year-old woman.",,,
,,,mri of brain (sagittal section) showing normal pituitary with intact posterior pituitary hyperintensity,,,,,,
,,,"mri brain of the same patient, sagittal view showing oval mass in the third ventricle at foramen of monro, with hydrocephalus shown by arrows.",,,,,,
,,,"brain mri of case 2 indicating infarction of right middle cerebral artery (superior division). mri, magnetic resonance imaging.",,,,,,
,,,"breast mri 2012. given the large triple negative cancer, a breast mri and pet-ct scan were performed for staging purposes. the pet-ct showed a 5 cm left breast mass which was fdg-avid, as well as an 8 mm left axillary ln and a 5 - 6 mm left internal mammary node both also fdg-avid. no distant metastasis was evident. the left axillary ln underwent an ultrasound-guided biopsy that proved metastatic from the breast. the breast mri showed a 7.1 × 3.3 cm enhancing mass at the left breast 10:00 - 11:00 position, and a 2.8 cm axillary ln, both of which are already biopsy-proven malignancies. after workup, the patient’s final clinical stage was ct3 n3 m0 - stage iiic. a multidisciplinary breast conference was held and the group decided that treatment should include neoadjuvant chemotherapy, surgery, whole breast rt including regional basins, and genetic counseling for brca testing. the patient underwent six cycles of tac (docetaxel, doxorubicin and cyclophosphamide) which she finished in january 2013. brca testing revealed no mutation in the brca 1 and 2 genes. the post-chemotherapy physical exam showed excellent clinical response with no palpable evidence of disease in the left breast. breast mri and pet-ct (february 2013) both also showed complete clinical response (both breast tumor and lymphadenopathy). brain mri also showed negative findings.",,,,,,
,,,mri of brain shows features of acute infarct in left frontal lobe (arrow).,,,,,,
mri chest revealing an anterior mediastinal mass which is infiltrating the surrounding lung parenchyma.,,,,,,,,,
,,,one of the sons’ mri of the brain showing cortical tuber,,,,,,
,,,,,,,,post-contrast axial view mri follow-up done after 14 months shows no recurrence in the tumor bed,
,,,,,preoperative coronal t1 mri with contrast shows a suprasellar solid-cystic mass compressing the optic chiasm,,,,
,,,,,,,contrast enhanced mri scan (saggital section) - intrasellar pituitary macroadenoma (white arrow) involving the anterior lobe of the pituitary with no parasellar or suprasellar extension,,
,,,post-treatment mri of the brain with and without contrast. postoperative changes in the right frontotemporoparietal region are shown. irregular enhancement at the surgical site extends to the walls of the right lateral ventricle. this was unchanged in subsequent mri scans.,,,,,,
,,,"brain mri flair, axial sequence, showing a hyperintense signal in the cyst different to csf signal",,,,,,
,,,"use of multisequence (t1‐weighted and flair‐weighted) brain magnetic resonance imaging (mri) to produce tissue‐segmented images in one randomly‐selected participant from the present study. gm, grey matter; nawm, normal‐appearing white matter; wmh, white matter hyperintensities.",,,,,,
,,,"the eye-of-the-tiger sign. axial t2w mri image of the brain shows hypointensity of the globus palladi (arrows). there is relative hyperintensity of the central part, giving the globus palladi the appearance of the eyes of a tiger. this appearance is seen in hallervorden-spatz syndrome",,,,,,
,,,,,,,,mri after first operation. tumor was only partially resected.,
,"35-year-old male dm patient, with lung fungal infection and bilateral osteonecrosis of the knee after steroid therapy.wbmri showed multiple spherical lesions in bilateral lungs (white arrow), and the osteonecrosis area (white arrow) surrounded by curvy high signal in the upper left tibia.",,,,,,,,
,,,mri brain t1 axial post contrast. arrow indicates leptomeningeal enhancement in the interpenducular cistern of the midbrain.,,,,,,
,,,,,mri coronal section post gadolinium contrast shows enhancement of the left l5 nerve root (arrow).,,,,
,,,,,"whole-body mra acquired on a dedicated whole-body mri system and matrix coils with a single injection of contrast agent in an asymptomatic male 52-year-old patient, coronal reconstruction, pasted image.",,,,
"abdominal mri. isolated recurrence in chest wall of a previously resected cholangiocarcinoma: long string through the diaphragm, chest, and abdominal wall that extended from the surgical bed.",,,,,,,,,
,,,mri-brain (t2 flair) showing cerebellar vermis hypoplasia with the “molar tooth sign”,,,,,,
,,,,,,,t2 mri at presentationt2 mri in the axial plane obtained at presentation demonstrates classic venous infarct in the left temporal lobe.,,
,,,"brain mri, t-1 sagittal view showing high signal in globus pallidus.",,,,,,
,,,t2w mri brain sagittal section (dec 2011) showing enlarged effaced partially empty sella predominantly containing csf (white arrow) with normal pituitary seen posteriorly (black arrow),,,,,,
,,,sagittal t2-w mri brain showing hypodense edh hematoma behind the clivus (arrow),,,,,,
,,,,,"coronal t2 weighted pelvic mri. rectal wall thickening, pararectal abscess.",,,,
,,,,,coronal t2w fat-suppressed mri shows a hypointense wall (white arrow) and hyperintense internal contents suggestive of cystic degeneration,,,,
,,,a 6-month-old boy-with glutaric aciduria type1 with sylvian fissure widening in axial brain mri,,,,,,
,,,axial t2w mri image reveals hyperintensity in the midbrain and hypothalamus (arrows),,,,,,
,,,,,coronal mri femur'07,,,,
,,,the sagittal view of brain mri with hyper signal intensity lesion in both thalamus,,,,,,
,,,,,"direct mri fistulography, coronal plane, t1 weighted image. horseshoe fistula on the right. hiperintense fistula canal filed with mixture of gadolinium and saline.",,,,
,,,normal brain mri findings with non-specific gliotic changes taken after two weeks of the mri showing pres syndrome.,,,,,,
,,,,,"case  1. mri, coronal cut in t2 sequence, showing location of mass lateral to left parotid (arrow) and exerting mass effect towards the left eac (arrowhead).",,,,
,,,,,mri scan abdomen coronal view,,,,
,,,,,"t1w coronal section mri showing multiple demarcated bone marrow abnormalities with double-line sign, compatible with osteonecrosis.",,,,
,,,,,,,,mri of nose and paranasal sinuses: nasal cavity tumor with erosion of the left orbit.,
,,,,"major branches of abdominal aorta (mri). r ra – right renal artery, l ra - left renal artery",,,,,
,,,,,a t 2 weighted coronal magnetic resonance imaging (mri) scan of pelvis with both hips showing undisplaced fracture of bilateral femur neck.,,,,
,,,axial brain mri with contrast showed filling defects in right sigmoid and transverse sinuses.,,,,,,
,,,,,coronal mri showing the intrahepatic veins (ihv) empty directly into the right cardiac atrium.,,,,
,,,,,,,,mri 25 months after second operation. some enlargement of tumor was seen in comparison with size after second operation.,
,,,mri brain sagittal section showing putamen necrosis,,,,,,
,,,,,,,,,mri of the abdomen reveals the liver masses invading the diaphragm.
,,,brain mri flaire image showing hyperintensities in basal ganglias,,,,,,
,,,,,,,"axial flair mri shows peripheral hyperintensity in the right frontal lobe as well as abnormal high signal intensity involving the superior sagittal sinus, findings suggestive of cerebral venous thrombosis.",,
,,,,,,,,mri scan – crossection through the tumor (longitudinal length of tumor – 16 cm).,
,,,,,mri - coronal views of the wrist (t2 weighted).,,,,
,,,,,mri coronal view showing a solid mass (37x22 mm) arising from the left paraglottic space at the level of the ventricle reaching caudally the conus elasticus; cricoid cartilage is remodelled in its superior and medial aspects.,,,,
,,,,"mri (transversal view) in case #4: symptoms and signs (upper abdominal mass, confirmed with ultrasound) were interpreted as suggestive of a malignant process. mri revealed the presence of an intraluminal mass in the stomach",,,,,
,,,follow-up brain mri t1-wi axial plane of a patient with ephedrone encephalopathy obtained 7 months later: reduction of signal intensity in globi pallidi in comparison to the initial image in figure 6 (globus pallidus to frontal lobe white matter signal intensity ratio is 105%; signal remains moderately increased compared to healthy individuals).,,,,,,
,,,,,,,,multicompartment dumbbell tumor on mri (axial t2w image (example 2),
,,,,,coronal mri showing the involvement of the right iliac crest.,,,,
,,,mri brain t1w contrast image,,,,,,
,,,,,mri orbits—coronal view.,,,,
,,,brain mri showing multiple intracranial masses compatible with metastatic disease.,,,,,,
,,,,,"patient presenting 6 weeks after spontaneous abortion with severe vaginal bleeding. coronal fat-saturated post gd t1w image shows intracavitary mass (straight black arrow) with myometrial invasion and brisk enhancement. there is presence of abnormal clustered flow voids (curved black arrow) within the mass. bilateral theca lutein cysts (straight white arrows) are also seen. a confident mri diagnosis of invasive molar pregnancy could be made. serum β-hcg was >4200 miu/ml and histopathology confirmed the mri diagnosis (s. β-hcg, serum β-human chorionic gonadotropin)",,,,
,,,,,coronal mri section imaging haematoma of the right thigh.,,,,
,,,,,,,,,"mri shows lesions in multiple segments iv, iii and ii in the liver (arrows)"
,,,,,,sagittal mri of the left leg confirmed the diagnos is of the pseudoaneurysm arising from the posterior tibial artery in this patient.,,,
,,,"brain magnetic resonance imaging (mri) (3t system) of the patient showing marked atrophy of mid-brain tegmentum, the shapes of the mid-brain tegmentum (bird's head) and pons (bird's body) on mid-sagittal mr images look like a lateral view of a standing penguin with a small head and big body (arrow)",,,,,,
,,,"mri scan of the brain demonstrating diffuse multi-stage intraparenchymal infarction and hemorrhage at both cerebral and cerebellar hemispheres, initially considered to be vasculitis.",,,,,,
