chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
a chest-ct scan showing a smooth ovoid lesion in the right lower lobe,on admission cxr:round regular density in the right lower lobe of the lung.,,the first brain computed tomography scan without contrast shows multiple brain abscesses with variable density and surrounding extensive hypodensity.,computed tomographic (ct) scan of the abdomen showing marked amount of abdominal ascites (arrow) with fluid surrounding the spleen and the liver.,"the aortic arch oblique coronal view showed the origin of right pulmonary artery was near the base of the brachiocephalic artery. arch, aortic arch; ba, brachiocephalic artery; lcca, left common carotid artery; rpa, right pulmonary artery; rsa, right subclavic artery.","right pulmonary artery (rpa), ascending aorta (aao), and left ventricle (lv).","a 3d volume rendered image of a live honey bee's head capsule showing gross morphological structures such as the optic lobes (ol), antennal lobes (al), aorta (ao), mushroom body calyces (mbc), and median ocellus (mo). the compound eyes (ce) are visualized immediately adjacent and lateral to the optic lobes. high quality figures are available online.",radiographic observations following the first surgery. the tumor has been curettaged and hydroxyapatite (ha) granules have been transplanted (arrows).,
"portable chest x-ray on admission, with opacification of the left lung base (pleural effusion vs. consolidation), scattered density in the right lung base, and pulmonary venous congestion.",computed tomography scan showing a well-defined tumor in the lower right lobe of the lung.,,pre-treatment mri. enhanced t1-axial mri of the brain prior to gamma knife radiosurgery showing an enhancing lesion extending into the cerebellopontine angle from the left internal acoustic meatus.,coronal abdominal ct scan with reconstruction shows the inferior vena cava with right (arrowhead) and left (arrow) branches. note the enormous prostate (star).,coronal ct scan of the patient.,intraoperative left lower extremity arterial angiogram at the level of the knee joint demonstrated a filling defect (arrow) with subtle flow past the bullet consistent with a partially occlusive bullet (arrow) within the left popliteal artery. embolectomy was performed with subsequent images revealing bullet removal with return of flow within the left lower extremity arterial system.,"ultrasound image of the upper right lobe.the dotted arrows indicate the rib shadows. the horizontal arrow indicates the pleura. between the dotted arrows b-lines can be seen in a pattern called ground-glass rockets, showing an interstitial syndrome.",postoperative noncontrast computed tomography of the head showed no residual tumor,
ct chest angiogram shows straightening of the interventricular septum.,ultrasound (us) echographic of right lung made in april 2014 before treatment. presence of ultrasound lung comets (ulcs) at the fifth right posterior intercostal space (arrow).,,"brain diffusion-weighted magnetic resonance imaging shows restricted diffusion (arrow) involving right front-temporal lobe, right insula and right basal ganglia, which indicates the acute infarction in the right middle cerebral artery territory.",abdominal ct. degree ⅳ liver laceration. white arrowhead – branch of right hepatic vein. black arrow  – inferior vena cava. black arrowhead – middle hepatic vein,showing pneumatosis intestinalis in right lower quadrant in a coronal cut of ct imaging.,"carbon dioxide arteriography. patent popliteal and fibular arteries, occlusion in the mid-third of the anterior tibial artery","ct image demonstrating right ocular lymphoma lesion with extrascleral involvementct scan showing a chorioretinal mass (arrow) in the right orbit, predominantly affecting the lateral and posterior parts of the globe, as well as transscleral extension laterally at the time of choroidal biopsy. (reference: mota, et al. [22]).",sagital cross-section through a tumor of second thoracic vertebra on mri. the tumor is seen destroying the entire vertebral body and infiltrating dura mater.,
chest radiographic film showing prominent pulmonary vasculature and dilated pulmonary artery shadow,positron emission tomography (pet) imaging showing the uptake of fdg at the lower and upper lesions in the left lung.,,axial t2-weighted (a) and t1-weighted contrast enhanced (gadolinium) (b) magnetic resonance images of the brain in an adolescent with nf2 showing bilateral schwannomas (as hypointense lesions: white arrows) with intracanalar extension (outer white arrows); (c) coronal t1-weighted contrast enhanced (gadolinium) magnetic resonance image of the brain in a child with nf2 showing bilateral schwannomas (as hyperintense lesions: white arrows) and multiple meningiomas (black arrows).,"abdominal ct scan revealing paravertebral mass (black arrow) adjacent to the upper pole of the left kidney, posterior to the inferior left hemidiaphragm (white curve and arrow).",ct scan of the lesion. coronal plane.,ultrasound image of the saphenous nerve at the mid-thigh level. notice the superficial femoral artery and saphenous nerve are lying deep to the sartorius muscle. the nerve lies in a superior-lateral position relative to the artery.,"se, t2wi, axial plane. typical pattern of x-ald with involvement of the callosal splenium and occipital and parietal lobes.","example of an ultrasound finding classified as a mixed-type pseudotumor. an anterior image showing a thick-walled, mixed-type pseudotumor. solid contents (arrowheads) can be seen among the hypoechoic fluid content. this lesion was graded as mixed-type because of the thick walls and atypical contents.",
sagittal reconstructions of chest ct scan demonstrated a t3-t4 subluxation indicative of a dish hyper-extension-type fracture.,"a 52-year-old male with known diagnosis of small cell lung carcinoma and new onset seizures. increased flair signal is noted in the mesial temporal lobes, left greater than right without mass effect or volume loss. based on positive serum anti hu antibodies and imaging findings, the diagnosis of paraneoplastic limbic encephalitis was made",,gadolinium-enhaced t1-weighted mr image of the brain demonstrating an enhancing mass with diffuse infiltration into the clivus and petrous bone,"plain abdominal radiograph demonstrating large opacity extending from the left pelvi-ureteric junction to the mid ureter, and a smaller opacity in the distal ureter.",t2 coronal image reveal heterogeneous collection in left obturator internus muscle.,cta demonstrates a vascular “blush” of a 2cm pseudoaneurysm and active extravasation from a branch of the right internal iliac artery (white arrow).,a ct scan on admission showing a subcortical ich on right temporo-parietal lobe. ct = computed tomography; ich = intracranial hematoma.,magnetic resonance imaging showing tumor in segments ii and iii with central hypointense scar (arrow).,
chest x ray of patient showing left sided effusion with left upper zone rounded opacity with intercostal drain in situ.,ct of the lungs 3 months after hospital discharge shows the regression of the changes in the lungs after treatment,,the shortest distances between both internal carotid arteries and the anterior-most portions of the cavernous segment (c4) were measured on t2 weighted fast spin-echo axial images of the brain (double arrow).,abdominal x-ray of the child showing nephrocalcinosis,a post-operative coronal computed tomography image of the fusion across the proximal pseudarthrosis and the defect in the fusion mass through which the spinal cord was decompressed.,90% diffuse narrowing of proximal right coronary artery,axial t2-anterior projection of the left eye globe in relation to the contralateral.,malignant stomach gastrointestinal stromal tumors in a 27-year-old female — axial contrast-enhanced computed tomography image showing large predominantly exophytic mass lesion arising from stomach (arrowhead) with multiple hypodense liver metastasis (arrows),
plain chest radiograph demonstrating subcutaneous emphysema in the lower region of the neck.,computerizd tomography image at the level of carina (lung window) showing very small-sized lower lobe due to hypoplasia of the lung on the right side,,"axial brain ct without contrast showing a well-defined, csf dense, solitary, cystic lesion located in the right parieto-occipital region. the lesion is causing mild mass effect on the midline which appears slightly shifted to the left. cortical sulci are effaced in the right hemisphere and minor compression of the posterior body of the right lateral ventricle is evident. no focal calcifications, septations, or daughter cysts are evident in the lesion",ct scan of the abdomen showing the anterior abdominal wall tumor.,"magnetic resonance imaging. sagittal and coronal precontrast t1-weighted image of the patient’s pituitary gland showing normal anterior and posterior lobes, with homogeneous enlargement and convex upper surface of the gland","relative hypoperfusion of the left kidney. there is reconstitution of flow in the distal segment of the left renal artery (arrow), suggesting partial thrombosis/obstruction. note the right perinephric and left perihilar hematoma, without apparent active contrast extravasation.","spiral ct of the patient in fig. 1 shows the atelectasis in left lower lobe, and relocation and retraction of mesenteric adipose tissue and colon loops towards diaphragm.",preoperative ct-scan detecting a large gatstric submucosal gastrointestinal stromal tumors on a small curvature side.,
ct scan of chest showing a debris/possible endobronchial lesion in the bronchus intermedius of right lung.,"case 10: a 67-year-old man after right lower lobectomy for a primary lung cancer. ct shows a hydropneumothorax secondary to an empyema due to methicillin-resistant staphylococcus aureus. no apparent bpf is noted. clinically, bpf was strongly suspected, but the empyema was cured by conservative medical therapy.",,patient 2 ct brain with contrast upon admission,"abdominal computed tomography scan showing air collection in the periductal space (arrow). to block further bile and pancreatic juice leakage, a self-expandable stent (arrowhead) is inserted at the distal common bile duct.","28-year-old woman with benign, mature, parapharyngeal teratoma. a reformatted coronal post-contrast cta image demonstrates focal areas of low attenuation representing fat, along with several foci of calcification and soft tissue densities in a left parapharyngeal space mass highly suggestive of a teratoma. the lesion appears to be submucosal thus arising from the parapharyngeal space and no extending from the nasopharynx.",selective injection in the left internal carotid artery on digital subtraction angiography showing the internal carotid artery terminating into the ophthalmic artery with no contribution to cerebral vasculature.,"postchemotherapy ct image shows a heterogeneously enhancing soft tissue density lesion of size 45 × 65 mm, with internal foci of calcification involving right lobe of liver.",a 31-year-old woman with tuberous sclerosis complex and renal angiomyolipomas. axial unenhanced ct image demonstrates multiple fat-containing tumors in the kidneys.,
ct chest showing multiple bilateral lung nodules.,"19-year-old man with primary synovial sarcoma of the lung. f-18 fdg pet/ct fused image following chemotherapy shows interval decrease in the size of the mass, decreasing mass effect on the adjacent hilum and very little metabolic activity (suv of 1.3).",,"mri of the brain. adc image shows increased diffusion at the left medulla (arrow).abbreviations: adc, apparent diffusion coefficient; mri, magnetic resonance imaging.","ct highlighted the important distension of a central abdominal intestinal loop with air-fluid levels and a convolute aspect, suspect for intestinal volvolus.","a 12-year-old boy, nmr examination performed one month after trauma. stir sequence, coronal plane: bone marrow edema within the distal pole of the scaphoid.","superior mesenteric artery syndrome. axial ct showing compression of the third part of the duodenum (arrow) between the superior mesenteric artery and the aorta, with consequent upstream dilatation (asterisk).","image scanographique postopératoire du meme patient objectivant: effacement des sillons corticaux, écrasement des ventricules cérébraux, compression des lobes frontaux réalisant le classique signe du « mont fuji »",magnetic resonance imaging (mri) scan of cystic adenomatoid tumor.the t2-weighted image revealed a 10.0-cm cystic tumor on the posterior wall of the uterus showing high signal intensity.,
"chest x-ray pa view multiple rounded homogenous parenchymal shadows of varying size, 2–5 cm in diameter in both lung fields. some of these shadows coalesce with each other and surrounding mediastinal structures","in this patient the lung metastases were from a known hepatocellular carcinoma, seen as a rather diffuse abnormally enhancing mass within the liver.",,"brain mri flair showed atrophy of bilateral hippocampus.abbreviation: flair, fluid-attenuated inversion recovery.",abdominal ct without contrast showing several prevesical calcifications (arrow).,fat-suppressed proton-density-weighted (fs-pdw) magnetic resonance imaging (mri). fig. 5 a (sagittal plane) – signs of degeneration of anterior cruciate ligament with abnormal high signal intensity. fig. 5 b (coronal plane)– large arrows: lateral meniscus with degeneration and extrusion (tear not shown). b - arrow heads: bone marrow edema. b - small arrows: partial thickening of the medial collateral ligament on mri,"ultrasound image at 2/3 bb’. a: the posterior circumflex humeral artery (pcha) (main trunk), b: pcha (branch), c: superficial fascia, d: deep fascia, e: humerus, f: subcutaneous tissue, g: deltoid muscle, h: distance from the pcha to 2/3 bb’, i: the site of 2/3 bb’.","56-year-old man with liver cirrhosis child a. axial enhanced mr image (15/3.45, 25° flip angle). the c/rl is high (1.37) and the rpn is easily identified (arrow). note the fact that the sharp notch that defines rpn and represents the landmark of the caudate lobe is situated on the line through the bifurcation of the right portal vein.","second post-treatment mri scan with intravenous gadolinium enhancement shows increased wall thickness, with enhancement. these could represent viable tumor or postradiation therapy inflammation. the first post-treatment mri scan (not shown) had demonstrated reduction in tumor size and hydrocephalus. an enhancing nodule has developed along the medial wall of the mass. the enhancing area is concordant with the pet scans [figures 3–5]",
roentgenogram of the chest: post-icd insertion with incomplete expansion of the left lung,computed tomography scan of the lungs reveal two nodules with irregular borders in the posterior segment of the right upper lobe. a cavity lesion is in the anterior segment of the right upper lobe,,t2w image of brain,"abdominal computed tomography, showing a huge lobulated mass with heterogeneous attenuation.","at alveolar bone level, coronal section of ct scan with contrast reveals enhancement of lesion",cta in sagittal cross-section shows high-grade stenosis (arrow) of the celiac trunk and superior mesenteric artery origins at the aorta.,hrct of a 3-year-old child showing several cylindrical bronchiectasis of the lower left lobe. the arrow indicates the classic “signet ring sign”,preoperative ultrasound scan of the tumor showed a well circumscribed isoechoic well defined mass.,
c-t chest shows anterior superior mediastinal mass,mri scan showing the large soft tissue mass within the left lung apex extending along the medial aspect of the mediastinum to the level of the aortic arch,,"magnetic resonance imaging of the brain showing diffusely abnormal restricted diffusion throughout the cerebral cortex involving the bilateral frontal, bilateral parietal, left greater than right occipital, and temporal regions, predominantly in the cortex and subcortical white matter. the edema in this image shows the event was a global insult.",plain abdominal x-ray: the v-p shunt catheter inside the abdominal cavity.,coronal t1-weighted spin echo echo mr image demonstrates a low signal rim (arrow) outlining the loose body. this partial visibility of the border of the loose body helps support the calcific nature of the loose material. [powerpoint slide],diffusion weighted mri showing increased signal in a superior division middle cerebral artery branch territory.,a spiculated mass is shown in the right upper lobe.,magnetic resonance (mr) image 3 years following tumor resection showing no evidence of recurrence,
chest x-ray - a large tumorous process of the right hemithorax with mediastinal shift to the left.,"thoracic radiography showed cardiomegaly, and computed tomography revealed a left lung mass with invasion of the heart and pleural effusion.",,brain mri (t1-weighted image) was repeated and showed marked decrease in the volume of cerebral edema following 10 days of therapy with prednisone. note the increased space of the gray-white matter junction and the ventricles (arrows).,abdominal computed tomography showed a 22 mm hypodense solid mass on the left kidney.,type ii frontal cells and agger nasi cell. a coronal ct scan showing right-sided type ii frontal cells (arrows) above an agger nasi cell (arrow head).,median arcuate ligament syndrome. axial t2-weighted image shows ill defined soft tissue thickening surrounding celiac artery (arrowheads) representing perivascular inflammation and fibrosis,hrct. axial image. severe cystic bronchiectasis in the right upper lobe with areas of fibrosis. mosaic attenuation in the left upper lobe most likely due to air trapping.,rectal gastrointestinal stromal tumors in 68-year-old male — axial contrast-enhanced computed tomography image showing exophytic heterogeneously enhancing mass lesion arising from rectal wall (arrow) with areas of necrosis,
chest ct scan. massive pleural effusion and left breast mass (arrow).,ct. 1: hydropneumothorax in right lung. 2: multiple bullae in both lungs. 3: paraseptal emphysema in left lung. 4: mixed alveolar and interstitial pattern as silicoproteinosis and fibrosis. 5: airbronchogram.,,normal computed tomography scan brain,abdominal sonography shows 8 weeks' live fetu (black arrow),"tdm nasosinusienne en coupe coronale montrant, un processus tumoral polylobé, occupant le sinus maxillaire droit et la fosse nasale homolatérale avec extension dans l'orbite droit après lyse de sa paroi médiale et dans la fosse nasale controlatérale après lyse de la cloison nasale",left coronary angiogram showing stenotic left anterior descending coronary artery with first diagonal branch (d1) and absent left circumflex artery,computed tomography scan shows multiple hypodense abscesses in both lobes of the thyroid gland.,sagittal slice of the mri.representative sagittal slice of mri showing the extent of the tumor (red arrows).mri: magnetic resonance imaging,
"2-yr-old boy with delayed bronchostenosis after recent blunt chest trauma. contrast-enhanced chest ct scan (3-mm-collimation) obtained 15 days after blunt chest trauma shows left upper lobe atelectasis. note complete luminal obliteration of the proximal portion of the left upper lobe bronchus (arrowheads). also note cavitary consolidations in the right upper lobe, suggestive of resolving traumatic lung cysts (arrows).",computed tomogram of the thorax shows a large cystic mass in the right lung field (white arrow) with a laterally compressed tracheal lumen (black arrow),,brain ultrasound. follow-up brain ultrasound 2 weeks after ivig administration showing mild subdural fluid collection(0.59 cm),"pancreatitis: a 53-year-old man with left renal cell carcinoma s/p resection on 2 months of pazopanib therapy for metastatic disease to the spine. the patient presented with upper abdominal pain. ct scan shows stranding anterior to the head of the pancreas, highly suspicious for pancreatitis secondary to therapy.","this patient was investigated with magnetic resonance imaging (mri) after 12 months: the mri (t2, coronal plane) showed a deflated inspace balloon, which appears like a scar tissue formation in the subacromial space (white arrow)","magnetic resonance angiogram shows stenosis of the right common carotid artery (white arrow), patent innominate artery (white arrowhead), and complete occlusion of the left common carotid artery (black arrow).","a 39-year-old women, 3 years after stroke, preceded by tias (case 1). ct examination – hypodense area attributable to malacia after stroke in the right temporal and occipital lobe.","initial ct, radiotherapy planning, and follow-up ct. (a) axial contrast-enhanced computed tomography image before stereotactic body radiation therapy. (b) dose distribution of the planning for stereotactic body radiation therapy. isodose lines show 70gy, 60gy, 50gy, 40gy, 30gy, 20gy, and 10gy from the inside. (c) axial contrast-enhanced computed tomography image two years after sbrt. the renal tumor decreased in size and its surrounding renal portion got atrophic.",
ct chest (coronal view) showing emphysematous aortitis.,high-resolution lung computed tomography before pemetrexed administration.,,contrast-enhanced axial ct brain demonstrating a heterogenously enhancing well-defined mass in the left parietal lobe with surrounding edema.,"sagittal view of the abdominal ct scan of the third patient, demonstrating a huge cystic mass",contrast-enhanced computed tomography of the abdomen in the coronal plane demonstrates intralesional areas of arterial enhancement (arrow). there is a small amount of paracolic gutter fluid.,coronary angiography with a right anterior oblique (rao)/caudal projection. arrow points to severe isolated ostial stenosis of left main coronary artery.,"clm with small flr prior to hepatic resection. patient with metastatic rectal carcinoma with right hepatic metastasis who was an operable candidate for right hepatectomy, but on preoperative computed tomography(ct; 5/12/09), the patient had a small left hepatic lobe and flr.",doppler ious. secomd serous cystadenocarcinoma; slightly smaller tumor located in the tail of the pancreas,
chest computed tomography scan,high resolution ct with 1 mm slice-thickness of a 92 –year-old female with ntm ( mycobacterium avium complex ) lung disease demonstrating the bronchiectasis and cystic changes at left upper and lower lobes and at right lower lobe.,,contrast enhanced ct brain showing bilateral vasogenic edema of the parietal and temporal lobes.,ct-scan images of abdominal aorta and renal arteries,24-year-old female with endolymphatic sac tumor. coronal ct image demonstrates erosion of the left petrosal bone and mastoid air cells.,ct angiogram revealing severe stenosis of the aorta below the origin of the subclavian artery.,"hrct scan showing heterogeneous conglomerate masses in the upper lobes bilaterally, containing areas of architectural distortion and small adjacent nodules.",the extraadrenal lesion and its relation to the tumor of the left adrenal gland in ct scan (marked with white arrows).,
"osteosclerotic lesions seen on ct chest, abdomen, and pelvis.","61-year-old female patient, displaying dm with lung ild, osteonecrosis in both knees.wbmri showed bilateral tibia osteonecrosis (white arrow) and fibrous streaks (white arrow) in the outer lung field, suggesting the presence of ild.",,mri brain showing atrophy pituitary glands with preserved infundibulum and hypothalamus,abdominal ct showing splenic mass.,"the approximate external contour of each bone marrow lesion (bml) area was marked. the precise map location was placed by identifying the number of sagittal and coronal slices with measurement of distance from the external tibial contour. after marking the position of the bml for all specimens, a distribution map of both types of bml was found. bml 1 bone marrow lesion detected using the fast spin-echo proton density-weighted sequence only, with absent signal on t1-weighted sequence in the same area, bml 2 bone marrow lesions detected by both fast spin-echo proton density-weighted and t1 sequences","cerebral computerized tomography scan, axial view, showing image of ischemic cerebral stroke in typical irrigation territory of the bilateral anterior cerebral artery.",ct image showing the lesion in the right temporal lobe (original),initial computed tomography. tissular tumor of the caudal pancreas (long arrow) with a splenic vein thrombosis and a segmental portal hypertension (short arrow).,
preoperative chest x-ray. blue arrow: pleural effusion; red arrow: different course of the two leads through the tricuspid valve.,"a fluoroscopic image of a dog in humanoid position during a coughing phase. the left cranial lung lobe (curved solid line) is extruded to the caudal 5th cervical spine (c5). the dog was diagnosed with grade 3 cervical lung herniation. c, cervical vertebrae; r, right; l, left.",,brain magnetic resonance imaging (mri) showing metastasis of the optic nerve associated with a lens dislocation,ct scan of abdomen (sagittal view) showing anterior abdominal wall mass (white arrow).,coronal t2-weighted image shows the hyperintense left frontal cystic lesion significantly displacing the underlying parenchyma,total occlusion of the right subclavian artery,contrast-enhanced ct axial section of the abdomen showing ahypodense lesion in the right lobe of the liver. the lesion is differentiated from the surrounding hepatic tissue by lower enhancement.,[18f]-fdg biodistribution in mice with lapc4-cr tumors. maximum intensity projection of the [18f]-fdg pet image acquired at 60 minutes after injection of the radiotracer. the [18f]-fdg uptake has been normalized by the injected activity and the mouse body weight ([id/cm3*wt]) and is shown using a false-color linear scale for visual contrast. there is an expected biodistribution of radiotracer with activity in normal tissue and physiologic radiotracer excretion. radiotracer uptake was also noted in the subcutaneous tumor.,
chest x-ray showing severe kyphoscoliosis with cobb's angle of 75° and hypoplasia of the left lung. cobb's angle is derived by drawing intersecting perpendicular lines from the superior surface of the superior end vertebra and from the inferior surface of the inferior end vertebra. the angle of deviation of these perpendicular lines from the straight line is the cobb's angle,ct image showing several non-calcified lung nodules and widened mediastinum due to metastasis to mediastinal lymph nodes (pink arrow).,,axial t2 weighted mr image of the brain shows generalized cerebral atrophic changes with associated prominence of cortical sulci. there are high signal intensity changes in the periventricular white matter (arrows) along with some loss of grey matter-white matter differentiation.,double contrast barium enema in the 70-year-old patient with chronic abdominal pain,"coronal image of computed tomography. non-contrast-enhancing, heterogeneous soft-tissue mass (m) occupying the pelvic inlet. laterally displaced rectum in the pelvic cavity (arrow).","patient 2, selective injection in ivc showing anomalous drainage of all the right pulmonary veins (rpv) to the hepatic vein with severe pulmonary vein stenosis and a collateral vessel between the right pulmonary vein and artery (*)",enlarged right thymic lobe with intraparenchymal heterogenous fluid.,ethanol ablation of the pancreatic tumor,
"hrct chest (lung window) showing multiple nodules, halo sign (thick, short arrow) and pneumatoceles (thin, long arrow)","18-fdg pet scanning presenting multiple pathological lesions in lungs, pancreas, lymph nodes, and bones.",,brain mri of the sister showing pnh.,dilated loops of small bowel without colonic distension are seen on this abdominal x-ray. there is no subdiaphragmatic free gas present.,magnetic resonance image (coronal section) revealing a left sided liver and gallbladder that is distended and has multiple calculi in it.,right coronary artery in the lao position showing the severe lesion at the crux with post lesion thrombus (arrows) pre ic thrombolytic and iv integrilin.,obliterative bronchiolitis. hrct at the level of the lower lobes exhibits a “decreased attenuation pattern” characterised by patchy “black” areas with paucity of vessels and few scattered bronchiectasis,"ct scan (coronary reconstruction) showing pdac tumor infiltration of the portal vein confluence (white circle). superior mesenteric vein (black arrow), portal vein (broken black arrow), and splenic vein (white arrow) without thrombosis, adequate diameter of the portal, and superior mesenteric vein to perform an end-to- end anastomosis.",
chest x ray after re-thoracotomy,radiograph at 36 hours follow-up. the image shows the pneumoperitoneum and increased infiltration in both lung fields.,,the occipitum-dens line described to evaluate the degree of the brainstem and tonsils herniation into to the cervical spine canal,abdominal ultrasonography shows transient donuts appearance.,"preoperative magnetic resonance imaging, coronal t1-weighted images; the arrowhead indicates 8 to 10 mm hyperintense enhancing lesion with contrast, englobing the geniculate ganglion.","thrombus visualised within the right internal jugular vein (rijv) (arrow). the vessel could not be compressed. rcca, right common carotid artery.","high resolution ct showing multiple cysts, which markedly vary in size, in the lower lobes and nodules that tend to cavitation.",47-year-old man with metastatic head and neck cancer. axial ct at the level of the thyroid cartilage shows that it has been destroyed by a large heterogenous tumor mass on the left.,
computed tomography chest showing 1.9 cm × 1.6 cm nodule in the right upper lobe in transverse section,coronal computed tomography with contrast demonstrating right intra-thoracic mass causing mediastinal shift to the left and obstructive emphysematous changes of right lower and middle lung,,"brain magnetic resonance imaging of the study patient showing very tiny, cortical, high signal lesions in both cerebral hemispheres. the arrows indicate white dot-like lesions, which are suggestive of microemboli.",abdominal ct scan at 9 hours after surgery shows contrast retention in the perirenal retroperitoneum bilaterally.,coronal view of the abdomen on ct showing thickened small bowel wall and engorged mesentery.,transverse image from the same ct pulmonary angiogram at a lower level demonstrated a circumferential smooth cuff of soft tissue density (white arrow) up until the 4th order pulmonary artery branches which required the exclusion of a pulmonary artery dissection.,"axial cect showing extradural infiltrates extending bilaterally beneath the frontal and temporal bones. on both sides, small lobules were extending into the cortex of the frontal lobes and causing perifocal edema","tumor of the monitor ultrasonography was tracked in the small square, and it was tracked successfully in breath out position",
pericardial effusion with air-fluid level in a patient with previous implantable cardiac defibrillator (non-contrast chest ct. mediastinal window),a shadow in the right upper lobe (lung ct).,,"figure reproduced from: smith, a. d., smith, s. m., de jager, c. a., whitbread, p., johnston, c., agacinski, g., oulhaj, a., bradley, k. m., jacoby, r. and refsum, h. (2010). homocysteine-lowering by b vitamins slows the rate of accelerated brain atrophy in mild cognitive impairment: a randomized controlled trial. plos one 5, e12244.","abdominal ct scan. the tumor showing a heterogeneous multiloculated cystic mass with low density in the tail of the pancreas (white arrow), compressing the adjacent organs.",coronal post contrast fat-suppressed t1-weighted mri demonstrates communication between the common flexor tendon sheath and the tendon sheath of the flexor pollicis longus tendon.,right internal carotid artery (ica) angiogram showing collateral circulation to left anterior cerebral artery (aca) via anterior communicating artery and to middle cerebral artery territory via leptomenigeal anastomosis from aca. the arrow indicates thrombus at left ica bifurcation.,black open arrow showing incisor tooth in apical segment of right lower lobe.,"post-operative mri of the cervical spine; sagittal plane t2/tse. the tumor has been removed, the spinal cord is without compression, cerebrospinal fluid is visible around the cervical spinal cord. metallic artifacts indicate the location of the ventral plate and pyramesh cage in c3–c5.",
cect of the chest showing gross shift of the mediastinum towards the right side.,coronal reconstruction showing the site of the cervical haematoma (arrow). this is the original ct scan on admission. there is no ‘whiteout’ of the left lung on admission.,,"brain mri showed acute cerebral infarctions in the leftward hippocampus, basal ganglia, and temporal lobe area (arrows)",abdominal aorta angiogaphy that confi rms the highly vascular nature of the mass with hypertrophy of the middle sacral artery (arrowhead) and distal vessels from the right internal iliac artery (arrows),t2-weighted coronal mri showing the inferio-lateral displacement of the right bulbus oculi. the right bulbus oculi is markedly larger than the left bulbus oculi.,left coronary artery appears to arise from aorta (may lead to misdiagnosis).,ct abdomen showing well-defined solitary hypodense mass lesion in left lobe of liver.,a 74-year-old female with collision tumor of the kidney. nephrographic phase image of the contrast enhanced axial ct demonstrates an enlarged left kidney with a staghorn calculus (arrow) and multiple other calcifications/calculi. renal parenchyma is replaced with multiple cystic low attenuating lesions (arrowhead). there was no local lymphadenopathy.,
chest computed tomography scan showing a well-delineated oval mass approximately 2.4 cm in size in the lateral portion of the right fifth intercostal space (white arrow).,computed tomography angiography of the 4-month-old child with right lung agenesis shows dextrocardia with absent right pulmonary artery (red arrow) and normal left pulmonary artery (green arrow).,,"this mr scan shows one coronal slice through the superior aspects of the lateral ventricles. note the clear differentiation between gray and white matter. gray matter appears gray and can be seen in the ribbon around the cortex, as well as in subcortical brain regions. white matter appears white, and the lateral ventricles are black. mr, magnetic resonance","abdomino-pelvic computed tomography showed a massive, inhomogeneous, hypodense abdominal tumor.",magnified coronal t2-weighted mri image of the right knee showing a medial meniscal tear.,"76-year-old male with rare pulmonary infarction. hepatic angiogram reveals hypervascularity of the hcc and extrahepatic collateral feeder vessel (superior epigastric artery, black arrow) supplying hepatic mass. angiogram also reveals contrast filling in distal portion of pulmonary artery post-embolization (dotted black arrow). gda coils are also seen from prior tace operations (white arrow).",ct scan shows well defined masses in right lobe of the liver,"axial computed tomography (ct) image in mediastinal soft tissue window-level setting shows the characteristic appearance of a fat-containing tumor with density values of approximately -50 to -100hu (hounsfield units), in this case a subpleural lipoma.",
image of the axial section of chest ct with oral contrast showing air near the posterior wall in the left atrium adjacent to esophagus (white arrow).,ct lung windows showing pneumomediastinum and pneumorrhachis (black arrow).,,"mri brain 3 months post-diagnosis, axial t2 sequence. normalization of imaging with resolution of vasogenic edema and pneumocephalus.",pre-operative abdominal computed tomography scan of the patient demonstrating characteristic features of mesenteric panniculitis; soft tissue density/mass (asterisk) and relative sparing of mesenteric vessels (grey arrow).,panoramic radiograph revealing unilocular pericoronal radiolucencies in the lower third molars and apical area of anterior teeth,"enhanced computed tomography exhibited a well-defined heterogeneous tumor with contrast enhancement in the left lower quadrant of the abdomen, and demonstrated that the left gastroepiploic artery (arrow) was feeding the tumor.","surveillance ct head non-contrast was obtained during routine clinic follow-up at 1.5 months post-operation. imaging shows residual encephalomalacia in the left fronto-temporal lobes, with no evidence or cyst recurrence or enlargement",tumor grade iv.,
portable chest x-ray. showing elevation of right dome of the diaphragm. there is atherosclerotic calcification of aortic arch. the cardiac silhouette is within normal limits.,ct findings. contrast-enhanced ct of the abdomen (lung window) demonstrating a tiny focus of pneumoperitoneum in the perihepatic region (arrow).,,brain cavernomas. coronal cut mri image of the brain cavernomas located ipsilateral and directly beneath the en coup de sabre linear scleroderma lesion of case #1.,non-contrast ct scan abdomen axial view showing biloculated collection of air with fluid (solid arrow) in the extraperitoneal location of anterior abdominal wall displacing the colon medially,a bicornuate uterus with pregnancy in the right horn in a 32-year-old woman.a coronal image shows a bicornuate uterus with separation of the outer fundal contour into two uterine horns containing separate endometrial cavities and a pregnancy (arrow) in the right uterine horn.,diffuse significant narrowing of proximal left anterior descending artery,magnetic resonance imaging 2 weeks later. axial t2 flair shows a thick rind of periventricular hyperintensity as well as focal right parietal and bilateral frontal lobe lesions.,axial contrast enhanced ct image showed a mediastinal tumor with mediastinal air and a perforation of the tracheal wall (arrow).,
