mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,axial 3d mri – rectus capitus posterior minor (arrow).,a fourteen-year-old boy with congenital multiple exostosis rt. ulna treated initially by excision. x-ray showing type 1 deformity in which there is ulnar deviation of the hand and deformity of the radius,computed tomography showed a sac-like mass of jejunal loops (arrows) in the left upper quadrant.
,,inflammatory mass by mri,"pelvic x-ray showing wide pubic diastasis, fractured left upper ischial ramus, and widened sacroiliac joints.",computed tomography scan showing a small right acute subdural hematoma.
,,"mri t2 sequence of a patient with ifi of the left hip. outlined arrow: quadratus femoris muscle belly oedema, solid arrow: sciatic nerve.",chest x-ray before right pleural aspiration.,"abdominal computed tomography performed immediately after the first abdominal ultrasonography, and showing isolated small bubbles of portal venous gas (arrow) in the liver."
,,"follow-up mri using identical technique 4 weeks post-mtx therapy, showing normal myometrium (m) and absence of placental tissue (arrow).",chest x-ray posteroanterior view,"illustrative example of glenohumeral dysplasia shown in an axial section computed tomography scan. the right glenohumeral joint was dysplastic and the left side was unaffected. the angles of retroversion were measured as described by friedman et al.(6). right side: α = 110º; version angle: 90-110º = -20º, interpreted as glenoid cavity retroversion. left side: α = 89º; version angle: 90-89º = +1º, interpreted as glenoid cavity anteversion (normal contralateral)."
,,"abdominal mri showing an abnormal nodular signal, oval, well limited, measuring 16 mm, raising to the arterial phase in respect to the pancreatic duct and the splenic vein","x-ray control. on this image obtained 12 months after treatment, appropriate situation of osteosynthetic material can be seen, in addition to reduced physis.",case 2. computed tomography image after intravenous contrast enhancement reveals an intraluminal hyperdense enhancing mass (arrow).
,,mri on hospital day 43. the brain metastasis had increased to 20 mm in diameter and the surrounding cerebral edema had become worse.,chest x-rays of the patient with cardiac herniation to the right side.,computed tomography scan revealing an intestinal gastrointestinal stromal tumor measuring 10×15×9 cm.
,,mri spine: abnormal enhancement of vertebral bodies.,x-ray of lateral view of left knee shows inferior displacement of patella with loss of suprapatellar quadriceps bulk,"a small hcc (white arrow) was detected at the caudate lobe of an 80-year-old female patient with serum high alpha-feto-protein level, which was recognized only by arterial phase of dynamic computed tomography"
,,coronal view mri showing multiple cysts with hyperintense t2 weighed images,preoperative x-ray,computed tomography image showing normal thickness of the pericardium (arrow)
,,mri coronal image demonstrating a pedunculated 3.1 × 1.7 × 1.2 cm nonvascular mass emanating from the left nasopharynx.,abdominal x-ray showing huge gas shadow consistent with gastric outlet obstruction,computed tomography scan (anterior view) showing retrosternal extension
,,axial section of mri image showing diffuse enhacement with thickening of meninges,"x-ray of right hand showed an expansile, cystic and lytic lesion with cortical erosion involving the little finger metacarpal",computed tomography image of the left-sided rectus sheath hematoma (arrow)
,,mri of the pelvis shows enhancing mass projecting into the bladder lumen (second mri),x-ray of the spine in lateral projection one year after additional ventral augmentation showing no further loss of correction,"follow‐up positron emission tomography‐computed tomography (pet‐ct) examination after chemotherapy. high fdg uptake lesions in the right lung lobe hilus had reduced, and all previous lesions in the right breast, right adrenal gland, and left ovary had disappeared. only the right thyroid nodule was still present."
,,"postmortem axial mri of the chest of an 8-month-old boy who died of unknown causes. unusually, there was apparent sedimentation/layering of blood in the pericardial sac (a) as well as in the left pleural cavity (b), which was attributed to traumatic pericardiocentesis during resuscitation. there was no evidence of trauma",chest x-ray showing pneumomediastinum. the lungs are clear and there is no pneumothorax.,computed tomography coronal image showing calcific lesion around the greater trochanter of the left hip.
,,initial radiological findings in case 7: t2 weighted mri scans of case 7 showing extent of white matter disease in january 2005,"antero-posterior view of the chest x-ray, showing bilateral diffuse alveolar opacities.",coronal section of contrast-enhanced computed tomography of the abdomen and pelvis demonstrating a stricture at the mid-common bile duct (arrow)
,,mri fat suppressed stir sequence showing the lesion,hand x-ray used in skeletal age assessment.,postoperative computed tomography scan showing no residual tissue in parotid space
,,brain mri shows abnormal enhancement of the perineural sheath of the left optic nerve.,x-ray chest showing hyperlucency of the right hemi-thorax,"chest computed tomography on admission. bilateral pleural effusion and diffuse ground-glass opacity was apparent, and thickened septal lines and diffuse reticular opacity were evident in both lungs."
,,mri lumbar spine t2 weightedwhite arrow pointing to hematoma.,chest x-ray taken after reintubation: pneumonic infiltration and atelectasis shown on right lung field.,computed tomography of the head showed the recurrence and an osteolytic lesion
,,cervical mri (axial view): shows the decreased compression of the cord.,pre op chest x-ray,"initial abdominal computed tomography (ct) of diffuse hepatic hemangiomatosis and coexistent giant cavernous hemangioma in a 78-year-old man.axial contrast-enhanced ct image during the arterial phase shows heterogeneous nodular enhancement in both hemilivers and a contour-bulging mass with a central markedly low density area involving the caudate lobe. the expansile mass (arrowheads) protruded anteriorly, and the horizontal portion of the left portal vein was invisible, suggesting left portal vein occlusion by the mass effect of the caudate lobe lesion. the umbilical portion of the left portal vein was also invisible along the fissure for ligamentum teres (white arrow). ascites in the right subphrenic space and dilated hepatic artery (long arrows) measuring 10-mm can be noted. there was no portomesenteric vein thrombosis (not shown)."
,,postcontrast axial mri showing a large intra-axial space occupying lesion in the left temporal lobe with peripheral enhancement and peritumoral edema,x-ray of left foot. fracture of the first metatarsal bone was observed.,cardiac computed tomography confirming the left ventricle aneurysm (the arrows show the edge of the calcified left ventricle aneurysm).
,,mri examination. a solid mass (white arrow) at the left of the pelvis is detected in a t1 weighted coronal mr image. the mass is slightly hyperintense to adjacent muscles. the surrounding fat tissue is heterogeneous and the lymph node (short arrow) is seen adjacent to the mass. the rectum (star) is displaced to the right.,post-operative x-ray showing bilateral fixation.,chest computed tomography showing a left lung tumor.
,,cardiac mri shows multi cystic lesions in right atrioventricular groove with compression of the right atrium and right ventricle.,chest x-ray showing bilateral diffuse high density micronodular opacities more toward the mid and lower zones,the computed tomography scans showing gas density in the ablation areas (arrow).
,,mri demonstrating tumour in the right parotid gland.,x-ray showing calcific scrotal nodules.,maximum intensity projection fluoro-d-glucose positron emission tomography/computed tomography image demonstrated multifocal fluoro-d-glucose avid generalized lymphadenopathy (maximum standardized uptake value 13.8) with the pattern of hypermetabolic lesions mimicking lymphoma
,,"mri of spine showing intramedullary demyelination in the spinal cord, evident as enhanced t2 signal, with peripheral contrast enhancement, extending from c2 to t1 vertebral body (arrows).","x-ray detail of the invasive hemodynamic pacing study setup. the right atrial (ra), right ventricular (rv) and lv epicardial (lv-epi) lead of the implanted system are shown, together with the temporary right atrial (ra-temp) and lv endocardial electrode (lv-endo). the radi pressure wire is located in the lv cavity",sagittal reconstructed computed tomography showing permacath behind aorta
,,"mri of the brain shows acute and subacute infarcts in the frontal, parietal and occipital lobes.",x-ray image showing small pneumothorax,"computed tomography showed a typical image of intussusception, together with dilated jejunal loops."
,,"t1 weighted image mri, with iv gadolinium of the pelvis at the level of the greater trochanter showing edematous changes in the obturator internus muscle (star) along with central necrosis (arrow) with ring enhancement suggestive of pyomyositis",abdominal x-ray in the upright position: agile® patency capsule in the right iliac fossa with a few small-bowel air-liquid levels,computed tomography scan of the thorax.
,,"coronal post-contrast t1wi in a 58 year old male with double vision for two years. when evaluating the mri without knowledge of the clinical history, two of the readers independently interpreted the left optic nerve as enhancing (arrow). after provision of the clinical history, all three readers (and the clinical radiologist) independently determined that there was no abnormal optic nerve enhancement.",recent intra oral periapical x-ray of 21 reveals a type 1 healing pattern with evidence of calcific nodules,"computed tomography chest, without contrast. extensive soft tissue thickening, inflammation, and gas within the right lateral chest wall extending from the ribcage into the right lower lobe pleuroparenchyma indicating empyema necessitans"
,,coronal short-tau inversion recovery magnetic resonance imaging (mri) of orbits shows lesion in lateral part of right upper lid with hyperintense signal (white arrow),distal anteroposterior x-ray at three postoperative months. the fracture has healed.,"axial computed tomography scan image: mass in the uncinate process of pancreas measuring 15 mm in diameter with bright contrast enhancement during arterial phase (arrow), without pathologic intra- abdominal lymph nodes"
,,mri image after administration of gadolinium-diethylenetriaminepentacetate (gd-dtpa) (coronal) showing a 53 × 40 mm diameter soft tissue mass in the posterior compartment of the right arm.,preoperative chest x-ray showing marked cardiomegally and widening of the carina.,contrast-enhanced computed tomography image of the thorax shows a 3.5 × 2.3 × 3 cm well-defined homogenous cystic lesion (white arrow) along the right antero-lateral aspect of the distal esophagus focally indenting and distorting the lumen.
,,sagittal magnetic resonance imaging (mri) of the pelvis showing a presacral tumour. the inhomogeneously enhancing tumour (maximal diameter of 7 cm) has contact to the sacralforamina s3/s4 on the right side and shows partial osseous destruction. there are no signs of rectal infiltration.,chest x-ray after 6 months of therapy.,high-resolution computed tomography of the chest showing diffuse interstitial pneumonitis.
,,mri of the neck showing c3-c4 intervertebral disc is reduced in height and appears hyper intense and abnormal anterior epidural soft tissue at c2-c5 compressing and displacing larynx and trachea anteriorly,x-ray sowing pc.c.p. in situ intra-operatively (ap view),"computed tomography of the sinus of patient 5, showing a 2.8 × 1.5 × 1.6-cm left polypoid lesion replacing the left middle turbinate and indicating nasal obstruction. the septum is deviated to the right."
,,"fat containing cystic lesions surrounded by smooth, thick rims with septations in both talus have been shown on mri.","chest x-ray on second hospital day, shows rapidly aggravated bilateral airspace consolidation.","anatomical measurements of the velopharyngeal space using computed tomography. pd indicates pharyngeal depth; vl, velar length; vpd, velopharyngeal distance."
,,mri of the right ankle: the talus appears as a hypo-intense signal suggesting an avascular talus.,chest x-ray displaying opacities consistent with acute respiratory distress syndrome (ards).,computed tomography revealed an enhanced mass at the proximal bile duct. arrows indicate the mass lesion.
,,lumbar mri of same patient. he has left l4-5 disc herniation,chest x-ray: large left-sided hydropneumothorax with significant shift of midline structures,axial computed tomography scan of synovial cyst at l3-4. the cyst was caused by medial placement of the rod. this disrupted the facet joints at the level above.
,,spine mri shows fracture settlement of the sixth thoracic vertebra with infiltration from the fifth to the sixth thoracic vertebra,pre operation x-ray,"computed tomography at the initial staging (a) showed the enlarged uterus (15 × 8.5 × 12 cm), left ovary (3.7 × 4 × 5.6 cm) and left fallopian tube."
,,brain mri of the patient. brain mri shows no specific abnormalities except metastatic lesions in the meninges and bones.,dextrocardia in the chest x-ray view,an axial computed tomography scan showing an iso-dense mass in the right buccal mucosal region causing facial swelling
,,mri of the left shoulder demonstrates a soft tissue lesion adjacent to the proximal humerus and potential bony lesions.,x-ray scan showing a hematoma in renal cysts of the left kidney (arrow).,contrast-enhanced computed tomography revealed that the mass was slightly enhanced. numerous serpiginous small vessels were observed throughout the mass (arrow).
,,follow up mri at 6 months confirms a complete resolution of the aneurysmatic sac.,x-ray of dorsal spine showed (arrow marks) transverse process of l1 (rt.) and pedicles of d12 and l1 nonvisualized (destroyed),computed tomography scan depicting small bowel obstruction with air fluid levels.
,,postoperative (24 hr) follow-up t1-wi parasagittal mri demonstrates complete resection of tumor from the infratemporal region.,chest x-ray showing elevated left hemidiaphragm and subdiaphragmatic air-fluid level,"repeated ct scan (coronal section) showing large peripancreatic and left flank collection. ct, computed tomography."
,,"a ct scan of osteosarcoma, showing bony formation and destruction more clearly than mri.",thoracic x-ray of a reservoir filling with contrast,"maximum intensity projection reconstruction of a postoperative computed tomography angiogram, demonstrating thrombus in the right common iliac artery aneurysm sac with no evidence of endoleak and retrograde filling of the right internal iliac artery stump."
,,mri brain with contrast showing intra-axial centered abscess (arrow) in the right thalamic region with associated right to left midline shift and downward herniation.,"water's view of skull x-ray was arranged for possible sinusitis, which showed clear paranasal sinuses, except multiple punch-out lesions on skull.",coronal computed tomography of paratracheal mass with right anterolateral trachaeal involvement.
,,a representative mri t1 image without gadolinium showing a coronal cut of the base of the penis with both corpora cavernosa and the corpus spongiosum having similar signal intensity.,"x-ray showing distended bowel loops in right hemithorax prior to emergency surgery in nicu. nicu, neonatal intensive care unit.",positron emission tomography/computed tomography of the pelvis showed a hypermetabolic lytic lesion with a pathologic fracture involving the left inferior pubic ramus with maximum suv 15.1 associated with a soft tissue mass 2.5 cm. × 1.8 cm.
,,coronal oblique fat-suppressed post contrast mri left shoulder (tr/te 5670/75).,"postsurgical x-rayan x-ray of the left foot with a small osteochondroma at the lateral side of the distal phalanx of digit 5 (green arrow), after surgical removal of an osteochondroma at the lateral side of digit 4.",computed tomography scan of the chest showed partial atelectasis of the right lower lobe (arrow) before treatment. (13 october 2011).
,,"whole-body mri, coronal t2 tirm image. bone marrow edema within the distal femoral epiphyses; no other pathologies are detected",anterior-posterior view of lumbar x-ray showing a large calcification (arrow) overlying the lower pole of the right kidney. r indicates right side.,coronal paranasal sinus computed tomography images 2 months after the operation showing no signs of recurrence or inflammation.
,,"coronal magnetic resonance imaging (mri) scan showing two masses seen at bilateral pelvic sidewalls demonstrating enhancement patterns suggestive of possible uterine tissue (arrows). the right and left masses measured 3.2 × 1.9 cm and 2.9 × 1.6 cm in the maximum dimensions, respectively.","x-ray of the hip joint obtained at one postoperative day (supine position)there were no problems with the setting of the implant, and the difference in the lengths of the patient’s right and left legs was reduced.","computed tomography showing an ill defined, intraparenchymal tumor obliterating most of the right lobe of the liver (coronal section)."
,,sagittal mri imaging of the spine showed platyspondyly associated with anterior clefting of the 12 th thoracic vertebra (arrow) and hook-like deformity of the 5 th lumbar vertebra (fig 4).,chest x-ray revealing a cystic lesion in the lung.,abdominal computed tomography reveals a homogeneous infiltrative mass in the left renal sinus with relative low attenuation compared to the renal parenchyma (arrows).
,,"t2 weighted mri of the chest showing enhancing area of the necrotic tissue over the right sixth rib, with underlying phlegmonous changes.",chest x-ray (posterioranterior view),the measurement of skin-to-stone distance at 45° on an axial scan of non-contrast computed tomography. ssd: skin to stone distance.
,,brain mri shows a frontal lobe mass.,x-ray showing lytic lesion of c6 leading to collapse of c6 body (vertebra plana).,"a fractured right coronary stent by mdct. the rca stents became two pieces. li p, gai l. coronary stent fracture detected by multidetector computed tomography. int j cardiovasc imaging. 2010 oct;26(7):729-30. epub 2010 mar 28. pubmed pmid: 20349340 (figure added with permission from author)"
,,"disagreement of both ultrasound and metal artefact reduction sequence magnetic resonance imaging (mars-mri) with the absence of a pseudotumour intra-operatvely. a 59-year-old male with a recap hip resurfacing underwent revision 4.9 years later. at revision there was significant metallosis but no collection of fluid or pseudotumour. histology confirmed a reaction to metal debris. ultrasound demonstrated separate a) anterior, and posterolateral cystic pseudotumours with a total volume of 288 cm3. mars-mri was performed 47 days following ultrasound and also demonstrated separate b) anterior, and posterior mixed pseudotumours with a total volume of 260 cm3.",pre-op x-ray.,eight months after injury: 3-d computed tomography scan shows a loose screw juxtaposed to the descending aorta with an aneurysm.
,,axial mri scan demonstrating extensive edema of the left lateral pterygoid muscle in the left infratemporal fossa.,chest x-ray after bilateral thoracentesis.,brain computed tomography of the third patient performed 1 h after symptoms onset shows thrombus formation within basilar artery; there's also mild compression on medullo-cervical junction by basilar.
,,coronal t2w mri shows multiloculated cystic lesion in left adnexa with t2 shading suggestive of blood products with endometriotic cysts,"x-ray of right distal femur, pa.",computed tomography scan showing a normal intra-hepatic portion of the inferior vena cava (boxed region).
,,mri: heterogeneous mass of the left parotid lodge,simple x-ray of the lumbar spine. the enlarged right l5 transverse process can be identified (arrows).,intra-abdominal free air identified on abdominal computed tomography scan.
,,mri image of the patient.,x-ray of right humerus showing features of chronic osteomyelitis,computed tomography (ct) chest axial plane showing diffuse randomly distributed ground-glass nodules (blue arrows) involving bilateral lungs consistent with military tuberculosis. implantable cardioverter defibrillator leads seen (yellow arrows)
,,preoperative mri of case 2preoperative mri with contrast depicting a homogenously enhancing lesion with a characteristic dural tail. the lesion is located near the jugular foramen with a component within the cerebellopontine angle.,postoperative simple x-ray after occiput- c1- c2 arthrodesis and c3-4-5-6 bilateral lateral mass screw and c7 pedicle screw fixation with halo vest.,the initial computed tomography scan showing a metallic object which appears to be a migrated coil around the left insula (black arrow).
,,"coronal cut on mri showing a 7.5 × 7 × 6.5 cm aneurysm in the distal portion of the splenic artery with an intramural thrombus, abutting the splenic hilum.",chest x-ray after three weeks. complete resolution of pericardial and pleural effusions.,chest computed tomography reveals a huge multiseptated cystic and solid mass containing foci of intralesional calcifications in the left lower lobe of the lung.
,,brain mri with gadolinium proved the presence of central pontine lesions without significant mass effect.,chest x-ray showing dextrocardia,computed tomography image showing multiple recurrent lesions in the psoas muscle.
,,brain mri showing hypersignal in the inner ear compatible with hemorrhagic labyrinthitis.,x-ray of the pelvis (anterior-posterior) showing pathological fracture of the left femur neck (arrow).,computed tomography of the chest revealed a large heterogeneous middle mediastinal mass measuring 15×17×18 cm without associated lymphadenopathy and anteriorly displaced heart.
,,"mri abdomenon mri abdomen, retroperitoneal and para-aortic lymph nodes appeared enlarged up to 1.3 centimeters. a 1.2-cm para-aortic lymph node was also seen just inferior to the duodenum. no mesenteric lymphadenopathy was present and there was no focal lesion in the pancreas or liver.",chest x-ray revealed a left side pleural effusion,ct scan at case presentation. computed tomography showing the drain abutting the sigmoid colon.
,,"17-month postoperative radiograph. coronal stir mri demonstrates postoperative changes and the medial aspect of the elbow. there are intact low signal intensity fibers extending from the medial epicondyle to the sublime tubercle of the proximal ulna, without retraction or deformity at the reconstruction site.","check x-rays 6 months after the surgery (mr. shane guerin’s clinic, 3rd april 2015). right hip hemiarthroplasty and left exeter total hip arthroplasty in situ.",coronal cut of computed tomography of the orbit of a patient showing superotemporal herniation of the eyeball with inferior displaced lr and nasally displaced sr muscles.
,,axial t2 l5-s1 mri,chest x-ray (anteroposterior - bed). marked cardiomegaly and free pulmonary fields.,abdominal computed tomography scans.
,,preoperative mri of case 1preoperative mri depicting a homogenously enhancing lesion originating from the jugular foramen.,lateral x-ray showing nail tip impingement on the anterior cortex in the proximal femur,computed tomography scan of the abdomen showing the large tumor arising from the anterior abdominal wall
,,": mri of left shoulder, coronal view shows well defined soft tissue mass involving the cutaneous and subcutaneous, with fascia involvement.",case no. 1 in table i. a-p view x-ray showing infected nonunion with a spiral fracture configuration at the mid shaft right femur fixed by the described semicircular ilizarov pin fixator module augmented by an interfragmentary cortical screw,computed tomography of case 2. an image before formalin-fixed tumor vaccine therapy shows a mass in the left lung (arrow)
,,"t1 axial fat saturated, gadolinium enhanced mri scan of the head. this image displays the case of a 48-year-old man with a previous excision of a neurotropic melanoma of the face. approximately one year from wide local excision he presented with facial pain and biopsy proven recurrence of neurotropic melanoma involving the mandibular division of the trigeminal nerve, filling the cavernous sinus and prepontine cistern with obvious brainstem compression.","a 23-year-old female with respiratory symptoms and proved h1n1 infection, with crack addiction. lymphadenopathy is shown on the chest x-ray.",computed tomography of the chest shows patchy air-space consolidation and atelectasis of the right lower lobe.
,,cardiac mri. four-chamber image showing dilated left and right ventricles with trabeculation in the lv apex.,chest x-ray showed the enlarged and irregular ball-like cardiac silhouette.,computed tomography-scan bony window picture
,,stir coronal mri showing areas of signal abnormality in the right femoral head.,"postoperative x-ray at 12 months following si fixation using ifuse (si-bone, san jose, ca) implants.",contrast-enhanced computed tomography chest mediastinal window at the level of arch of aorta shows collapse of left upper lobe with a shift of major fissure (thick arrow). the superior segment of the left lower lobe has hyperinflated and invaginated the medial part of left upper lobe (thin arrow)
,,"sagittal t2 mri image showing abnormal posterior course of the right v2 va segment. mri, magnetic resonance imaging; va, vertebral artery.",nodular opacities in left upper zone periphery on chest x-ray (apical lordotic view).,contrast enhanced computed tomography scan shows crescent shaped hypo attenuating area of size 6.8x1.8 cm along the left wall of aortic arch between the left common carotid and extending up to the left subclavian vessel with atherosclerotic plaque
,,left anterior inferior cerebellar artery hyperplasia (angio mri 3d).,initial chest x-ray.,abdominal computed tomography showed that all intraabdominal organs were positioned inversely in a mirror image way.
,,mri scan of orbit mri of the orbit revealed a well-defined mass of approximately 23 × 13 mm along the medial rectus muscle.,"ap x-rays of the right shoulder of patient 1 taken in the emergency room after reduction of the dislocation, showing mobilization of one of the two staples used 15 years earlier.",computed tomography image showing destruction of l4 vertebrae involving left pedicle.
,,"aneurysm of the membranous septum. coronal steady-state free precession (ssfp) mri image shows an aneurysm of the membranous septum, formed by adhesion of the septal tricuspid leaflet to a rim of membranous ventricular septal defect (vsd). this results in partial or complete closure of the vsd with or without an aneurysm formation",lateral views of plain x-ray (negative image) skull that revealed classical honeycomb appearance lesion,"the ct brain scan showed global brain swelling causing transcalvarial brain herniation (a).abbreviation: ct, computed tomography."
,,mri of the brain with contrast detailing the resection cavity postoperatively.,preoperative chest x-ray shows the implantable pulse generator with its leads,coronal plane computed tomography scan showing a hematoma of the anterior compartment.
,,anterior cruciate ligament (acl) flexion mri technique.,x-ray image of changes in bones observed in psoriatic arthritis. bone changes in psoriatic arthritis (psa) patients may differ between patients and may also differ within the same patient. the heterogeneity observed within a psa patient is illustrated. left-hand radiograph from a psa patient showing severe erosive disease and subluxation at the first distal interphalangeal (dip) with fluffy periosteal new bone formation on the terminal phalange. ankylosis of the second dip joint is also demonstrated,axial enhanced computed tomography urography showing severe left hydronephrosis
,,preoperative mri.,chest x-ray; red arrow shows the air bubble below the left hemi-diaphragm before pneumatic balloon dilatation. this is an atypical finding.,computed tomography scan showing abscess cavity with several stones (with incidental renal cyst noted) in case 2. arrow - abscess cavity containing gall stones.
,,cranial mri 16 months after radiotherapy.,chest x-ray at admission of a patient with pneumonia by l. anisa.radiological signs showed an infiltrate to right lung base (arrow) and a bilateral interstitial pattern.,"computed tomography showing an extensive pneumomediastinum with mild septation, unchanged lung parenchyma (cross-sectional cut)"
,,sagittal t1 mrithis preoperative sagittal t1 weighted mri without contrast reveals expansion of l1-2 disc space with edema and erosion of adjacent endplates.,x-ray of the right shoulder: single incidence.,non contrast computed tomographyscan the paranasal sinuses of the patient in the study showing chronic rhino-sinusitis
,,mri axial t1 showing calcification inside the conjoint tendon immediately under its coracoid insertion.,"postoperative follow-up chest x-ray showed good lung inflation in both sides with no residual atelectasis, emphysema, or effusion","computed tomography (ct) scan showing the neoplasm (~3.5×4.5×4.5 cm) in the right lobe of the liver, as indicated by the arrow."
,,brain mri - increased signal in flair images in the withe matter territories adjacent to the lateral ventricles bodies and subcortical zone,x-ray of the thorax. infiltrative changes are observed in the left upper lobe.,computed tomography. total exsudative retinal detachment in the right eye.
,,"cerebral mri scan with the follow up survey, it showed the essential progression of intracranial lesions. artifact of v-p- shunt system.",chest x-ray. atypical position of the atrial lead.,dose-distribution conventional breast beams relative to ct-based breast target volumes. representation of 95%-isodose (green) resulting from conventional breast beams and computed tomography (ct)-based clinical target volume (ctv) and planning target volume (ptv). note the areas of ptv (red) not covered by 95%-isodose when conventional beams are used. under-dosage of ptv is caused by including additional tissue (marked yellow-wash areas) into the ctv.
,,case 2: mri brain contrast axial section showing displacement of both ica,lateral skull x-ray showing tram track calcifications in the left frontoparietal region,computed tomography image showing a herniated bowel loop in the obturator foramen on the left.
,,"mri of a patient with an unresectable esthesioneuroblastoma who presented with proptosis, lateral deviation of the left eye.",chest x-ray showed atelectasis of the lower part of the left lung with an air compartment above the abscess.,maximum intensity projection image of whole body fluorodeoxyglucose positron emission tomography-computed tomography scan demonstrating intense uptake in scalp and neck region (black arrows)
,,"magnetic resonance imaging t2 (mri) scan also showing a 2,5 × 2,7 cm mass at the lower pole of the right kidney and an adenoma of the right adrenal gland.",initial chest x-ray revealed interstitial pulmonary edema.,"pancreatic pseudocyst. acute pancreatitis repeatedly occurred 1 month after the first operation, and a pancreatic pseudocyst developed at the same site. enhanced computed tomography (ct) showed a cyst with a diameter of 29 mm in the body of the pancreas"
,,mri of thorax showing posterior mediastinal mass with no spinal extension,x-ray showing fracture fixation with three cannulated screws (ap view),computed tomography examination showing the lesion
,,"mri of lumbar spine with l4-5 stenosist2 sagittal mri of l4-5 stenosis secondary to hypertrophied yellow ligament posteriorly (dashed white arrows) and minimal grade i l4-5 anterolisthesis with disc protrusion posteriorly (solid white arrow). note that on t2 mri, bone is a gray color and soft tissue, ligament, and disc annulus are darker.mri: magnetic resonance imaging.","at final x-rays, the 2 proximal screws were inserted slightly convergent and retroverted. the femoral head reduced in slight valgus and gap at the medial site of the fracture is noticed at final x-rays.",computed tomography (ct) scan of head without intravenous (iv) contrast demonstrating scattered multifocal acute intra-cerebral hemorrhage (ich) and marked perilesional edema after supportive treatment of ich.
,,mri of the abdomen. bam is evident.,x-ray showing reconstruction of the femur with a plate and a cable wire with cemented stem.,"computed tomography angiogram, maximum intensity projection (mip) image. the arrow indicates the renal artery anastomosis with the right external iliac artery. note that there is no aneurysmal dilatation at this level."
,,initial magnetic resonance imaging (mri) of the left breast. the early phase of the dynamic sagittal mri with subtraction shows a nonmass enhancement lesion with segmental distribution and heterogeneous internal enhancement pattern in the left upper outer (arrow) and upper inner (not shown) quadrants.,simple x-ray of the hand that shows a considerable accumulation of extravascular contrast.,computed tomography angiography scan of the thoracic cavity in coronal section demonstrating the extent and location of the enlarged aneurysm of descending thoracic aorta.
,,measurement of the lateral semicircular canal in the frontal plane.mri image in the frontal plane showing the “intercanal angle”(ia) formed by the axis of the right and left lateral canals; the “vertical lateral canal frontal angle right”(vlfr) formed between the right lateral scc and the vertical axis (defined by the sagittal plane); and the” vertical lateral canal frontal angle left” (vlfl) formed between the left lateral scc and the vertical axis.,"an ap chest x-ray in the trauma bay showed no obvious pneumothorax, hemothorax, or bullet fragment.","on computed tomography at 11 days after admission, cerebellar edema compressing the fourth ventricle is resolved, and low density is still remained."
,,initial mri without contrast demonstrating foci of enhancement within the inferior l2 vertebral body.,cat-scratch disease: normal chest x-ray.,chest computed tomography (ct) obtained during the patient’s first admission to our hospital. ct showed no emphysematous changes or space-occupying lesions.
,,"horseshoe sign.in patient with ms, postcontrast mri image demonstrates incomplete ring of enhancement, resembling horseshoe (arrow).",chest x-ray after pacemaker implantation.,pre-operative computed tomography scan of the paranasal sinus showing a mass involving the right maxillary sinus (coronal cut).
,,"axial t2w mri shows a large lymphatic sac (left arrow) in the left prevertebral region, posterior to the aorta. a smaller lymphatic sac (right arrow) is seen anterior to the vertebral body, to the right of the aorta","x-ray of the left shoulder joint showing soft tissue mass, complete destruction of the humeral head, and multiple cavities in glenoid cavity and coracoid process.",one-year follow-up postoperative supine computed tomography scout image showing anteroposterior view of the internal fixation from l3 to s1.
,,"imaging of the asymptomatic ankle region of an 11-year-old healthy control. a sagittal stir mri revealing multiple and patchy signal changes suggestive of foci of haematopoietic red marrow, or of focal bone marrow edema (arrows).",x-ray of the hand (anteroposterior view) showing osteolytic lesion involving the proximal phalanx and part of 5th metacarpal. there is no periosteal reaction,computed tomography showing a 2cm submucosal lesion in the mid body of the stomach
,,preoperative mri imaging.,a chest x-ray taken 20 minutes after extubation. a chest x-ray film taken twenty minutes after extubation shows a massive hemothorax in the left lung field.,computed tomography scan at the level of the lateral ventricles. there is a thin layer of acute subdural hematoma identified on the left with a minimal midline shift (arrow). a = anterior; p = posterior; l = left; r = right.
,,mri showing mural thickening and enhancement of temporal arteries bilaterally (arrows).,hand x-ray showing erosions.,"computed tomography image of the abdominal aorta.in roman numerals the infra renal distances are portrayed. i: 0 mm, ii: 7.5 mm, and iii: 15 mm. to provide a standardized method for measuring the distances as mentioned above, first the midline of the aortic neck is chosen. the perpendicular line is then placed at the point where the lowest renal artery branches from the aorta. in the caudal direction from this point (i) and parallel to the midline, a distance of 7.5 and of 15 mm is measured to identify point ii and iii, respectively."
,,axial mri at the level of the right ventricular outflow tract demonstrating large bilateral pleural effusions (*) and thickened pericardium (arrows).la=left atrium; lvot=left ventricular outflow tract; ra=right atrium; rvot=right ventricular outflow tract; v=vertebral body;,profile x-ray of one animal of group 1 at week 30.,computed tomography scan of ranula
,,"mri t2w coronal view showing a large lytic lesion involving the right iliac bone with a large soft tissue component, with heterogeneous signal intensity with lobulated margins and hypointense capsule.",x-ray skull showing increased marrow proliferation with thin cortical bone margins,"initial computed tomography scan demonstrating a 23 mm thickness of acute subdural hematoma with midline shift of 15 mm in the left frontotemporoparietal region with herniation sign, compression of the brain stem. a band of low density between the subdural hematoma and inner table of the skull is seen."
